i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.4638289700600025;-3.30503249168396;-9.534722328186035;0.06520910561084747;10.265924319727862;-2.7618872758173008;0.3596396868507308;0.05418453537568147;0.019069542527594394;0.05071800884958661;-3.3031255374312005;-9.529650527301076;0.2003055363893509;0.21771644055843353;0.11171652376651764;0.370428427646028;-0.9425309386977173;0.9668472950539277;0.045815464624318535;0.037710681175920656;0.026018480431997684;0.20407660450694295;0.2203182886016333;
1;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.461558355429585;-3.3046586513519287;-9.537120819091797;0.06669458746910095;10.268013487099696;-2.7620076697214713;0.35952349732879596;0.05417743176474532;0.01906115024678184;0.05071357474969836;-3.3027525363272505;-9.532049461616827;0.1994277983903885;0.21934300661087036;0.12353762239217758;0.37209542180675276;-0.9403807179714692;0.9763934950624493;0.045822568235254685;0.03796322197010514;0.025661284794863612;0.203224120587399;0.22190913509035673;
2;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.451326030394334;-3.30425763130188;-9.538664817810059;0.07655853033065796;10.26929903313006;-2.762099650726535;0.3594341025684138;0.05414541478412081;0.0190453548441507;0.05068530754572644;-3.3023530958174647;-9.533596287055486;0.20304784178733826;0.22135061025619507;0.13888421654701233;0.37037369902295664;-0.9302403739412829;0.9788943850979399;0.04585458521587919;0.03805384951939239;0.02558412636921117;0.2068532267392775;0.22390902289311618;
3;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.428020053872916;-3.308960199356079;-9.530850410461426;0.10118336975574493;10.263785234837654;-2.761392032934365;0.3601306230679535;0.054072458903466236;0.019054944181651247;0.050603753952658495;-3.3070547049379138;-9.52579003506616;0.21359752118587494;0.22438287734985352;0.15197671949863434;0.36383245528494945;-0.906226779627695;0.9735123981198668;0.04592754109653377;0.03797593037089938;0.0258295904659443;0.21739511422296487;0.22696583639644793;
4;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.39445191468703;-3.311431407928467;-9.531962394714355;0.13278205692768097;10.265735067280483;-2.7612086972860874;0.3603178844304318;0.05396730339105401;0.019027345115267873;0.050501781881103575;-3.30952867341694;-9.526912216526245;0.22465260326862335;0.23113274574279785;0.16712509095668793;0.3594976147922973;-0.8724753047935317;0.9874717069209015;0.046032696608945996;0.03842054849446271;0.0253548932254882;0.22849465811806963;0.23366823506534667;
5;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.363517084340453;-3.312211275100708;-9.536164283752441;0.1585676521062851;10.269926195096081;-2.7612900942537606;0.36024492051546453;0.05387031979373787;0.018989473204931724;0.05041241178597554;-3.3103123277802147;-9.531123042573844;0.2314898520708084;0.2398955374956131;0.18523776531219482;0.36006606123219315;-0.8416218714146274;1.0209342554778336;0.04612968020626214;0.03933000884942648;0.0241059702114652;0.23542285295575105;0.2423061345167596;
6;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.355022084052953;-3.304124355316162;-9.53369426727295;0.1778201013803482;10.264632896141134;-2.7619323242669287;0.359592038571251;0.0538436744499006;0.018947179512837174;0.05039985780510895;-3.3022296373648783;-9.528654281492438;0.23098278045654297;0.2441742867231369;0.20256377756595612;0.3633061335948586;-0.8337691011402953;1.0435799362569464;0.04615632555009941;0.03988880118454507;0.023222616742016734;0.23497166057499747;0.2464965483973386;
7;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.322934364529099;-3.3040194511413574;-9.529279708862305;0.19769904017448425;10.260493933256656;-2.761782368186674;0.3597336577559993;0.053742979838983525;0.01891886989401786;0.05030292480469316;-3.302127564151956;-9.524249416381835;0.2340153604745865;0.2575377821922302;0.2216491401195526;0.37023443616167956;-0.8015314255361875;1.1069835978108329;0.04625702016101648;0.04137012024380743;0.020693599618954655;0.23815237249896723;0.25960714215412567;
8;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.310831994938713;-3.3029589653015137;-9.52906608581543;0.21308670938014984;10.259902404974667;-2.7618706449310357;0.3596441889616224;0.05370498167609572;0.01890099615689847;0.05026905013133515;-3.301068865685824;-9.524039180802296;0.22925204038619995;0.2685265839099884;0.2352844625711441;0.3813279217437453;-0.7895173326901621;1.167496034935426;0.046295018323904286;0.04258080539588248;0.018168757069448066;0.2335101209257882;0.27034345961693323;
9;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.306815404739604;-3.2975144386291504;-9.532049179077148;0.22587068378925323;10.260656775467261;-2.7624712323281604;0.3590451217499042;0.053692368320493164;0.018866446141389093;0.05026855504047797;-3.2956277940150116;-9.527022323573101;0.226681187748909;0.2729347050189972;0.24339623749256134;0.38625966180039323;-0.7861013298881777;1.1918882506543138;0.04630763167950684;0.04302298963131096;0.017129480872138992;0.23098348671204008;0.2746476531062111;
10;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.2886974237833035;-3.2981650829315186;-9.530172348022461;0.23847848176956177;10.259154106465704;-2.7623446073046938;0.35916871841120956;0.05363545774270475;0.01885265517568449;0.050212943750553046;-3.29627981741395;-9.525151053647406;0.22403039038181305;0.28582531213760376;0.251220703125;0.3973101238218995;-0.7678567239084109;1.25576993256345;0.046364542257295256;0.04408285973298071;0.01436566241044474;0.22843867635511111;0.28726187837864825;
11;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.278057482765012;-3.296937942504883;-9.529410362243652;0.24968236684799194;10.2579919863134;-2.762428233800646;0.3590827492422579;0.05360202560711847;0.01883658976588381;0.050183264493035784;-3.2950542835282945;-9.52439203579435;0.22187547385692596;0.2942100763320923;0.25946328043937683;0.4048614837912407;-0.7573004093860719;1.2963998295525951;0.046397974392881534;0.04466217521094951;0.012572276372596067;0.2263416913780209;0.2954673039693519;
12;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.2807334311977545;-3.2967684268951416;-9.528676986694336;0.25296780467033386;10.2572479547014;-2.76241712173698;0.3590923611544088;0.053610434553661504;0.018840027233087593;0.05019095602684752;-3.294884424171833;-9.523657891091652;0.21789735555648804;0.2968297600746155;0.2649160623550415;0.4094994608885051;-0.7599652457551491;1.311750806274334;0.0463895654463385;0.04484177369863621;0.011883059953581842;0.22238153292635165;0.29801806606997366;
13;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.312575169685093;-3.291037082672119;-9.532135009765625;0.2558588981628418;10.258340996798394;-2.763060915066954;0.3584507715900902;0.05371045542921823;0.018842911077019225;0.05029669695474628;-3.289152791564417;-9.52710534007015;0.2066764235496521;0.289215087890625;0.28017643094062805;0.4119272843175177;-0.7924507775724609;1.2885570480839579;0.04628954457078178;0.04445806133627182;0.01289196334119381;0.2111222296832793;0.2905042842247444;
14;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.32455405674589;-3.2961840629577637;-9.526994705200195;0.2619607448577881;10.255468860699011;-2.7624093358677686;0.35909655902190285;0.053748064423259335;0.018888604995077003;0.05031972804563621;-3.294295202458256;-9.521962732395632;0.2024298906326294;0.2868277132511139;0.2871345281600952;0.413301472387617;-0.8037780854340721;1.2824466566813792;0.04625193557674067;0.044342400636987106;0.013152682249027941;0.2068641306963281;0.2881429814760167;
15;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.330203200351365;-3.29459547996521;-9.526433944702148;0.27133867144584656;10.254359978045716;-2.7625330071057896;0.35897065078758317;0.05376579687150093;0.01888849877575275;0.05033870804088923;-3.292706630087635;-9.521400073898059;0.20021604001522064;0.2856415808200836;0.2896248698234558;0.41407914141810154;-0.8095509002775684;1.2796125735297303;0.046234203128499074;0.04428796081651575;0.013273208566208812;0.20464483609687223;0.2869689016767045;
16;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.332372275030885;-3.297924280166626;-9.525299072265625;0.27712181210517883;10.254538080966084;-2.7621904802215203;0.35931353700005597;0.053772604891645544;0.018908152029627177;0.050338601725291574;-3.296033464963663;-9.520265212093095;0.19996526837348938;0.2848367691040039;0.29203349351882935;0.4137062064023211;-0.8113774480728191;1.2763779677249583;0.04622739510835446;0.04423828053040856;0.013414417401318206;0.20438909642653025;0.28617821084413575;
17;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.329117597154128;-3.2973291873931885;-9.536283493041992;0.285474956035614;10.264521996522458;-2.7626406737209543;0.35888346582821185;0.053762389386029244;0.018882913117859407;0.05033716424947281;-3.2954408960814026;-9.531249776617045;0.20135165750980377;0.2851172685623169;0.2924337089061737;0.4128954944106049;-0.8085729636954961;1.2761137286733388;0.04623761061397076;0.044244509532976053;0.013429073366229446;0.20577610846310138;0.28646017589893985;
18;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.328848789913604;-3.304283380508423;-9.526655197143555;0.29437583684921265;10.25815438002738;-2.76166361942284;0.3598476910161128;0.053761545641924785;0.018931143584956452;0.05031814376916664;-3.3023902661499274;-9.521623382766638;0.20215654373168945;0.28505897521972656;0.2926442325115204;0.4122733847766233;-0.8073271021568579;1.274997533844375;0.04623845435807522;0.04423029961188373;0.013478696437964741;0.20657957369287783;0.286406844863523;
19;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.334827377766678;-3.3045339584350586;-9.539225578308105;0.302920937538147;10.269922262351022;-2.762094885970808;0.35944012088858357;0.0537803102424596;0.0189172342926776;0.05034342078654516;-3.302642235005791;-9.53419123622945;0.20174014568328857;0.2818167805671692;0.29414916038513184;0.41034088086159526;-0.8137369565579001;1.2612102030784882;0.04621968975754041;0.04402239391362986;0.014081496916041627;0.20614238507465155;0.2832249302587734;
20;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;4.346251385565555;-3.310152053833008;-9.540763854980469;0.3063391149044037;10.273433389565032;-2.7616424070718746;0.35989965914908484;0.05381615867339639;0.018952992134431784;0.05036827397789549;-3.3082567546195647;-9.535727027582679;0.2014550417661667;0.27594974637031555;0.2926877439022064;0.40654317680743673;-0.8247084854578438;1.235564331231004;0.046183841326603615;0.04361297213393251;0.015193941599391728;0.20581633897955995;0.27746914053025473;
