i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.694522993365591;0.2961655557155609;0.2805284261703491;0.08396182209253311;0.3467631447636255;-0.628361954344626;1.1721237399391016;0.05175824155827512;0.04769921022939645;0.020092309789981798;0.3009354767385006;0.2825376571493473;0.7972661852836609;-0.1220204159617424;0.11927333474159241;0.3213349760368087;1.960300359469369;3.6373696702654206;0.04824175844172489;-0.022949340571312385;-0.042433418727362164;0.7949712512265297;-0.12626375783447863;
1;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.679304474994285;0.29548799991607666;0.27803584933280945;0.08334902673959732;0.34515082455724105;-0.634195160021289;1.1586332780178938;0.051709943146421064;0.04737956979372568;0.02071459838779349;0.30022595689544923;0.28010730917158877;0.7899879217147827;-0.12222545593976974;0.13299629092216492;0.31469359195913654;1.9696856721640124;3.613818203074875;0.04829005685357894;-0.021965668776361476;-0.04300510418693419;0.7877913548371466;-0.12652596635846317;
2;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.6260560342584736;0.2852291464805603;0.27484554052352905;0.0799029991030693;0.3488073833323192;-0.6633109257798966;1.1468439240044452;0.051540890075034373;0.046977984305666284;0.021202177725491995;0.2899269449111269;0.2769657582960783;0.7819409370422363;-0.12693041563034058;0.1434815227985382;0.3091957670996569;1.9938183471412159;3.610561149900509;0.04845910992496563;-0.021901888908922744;-0.043227220555352726;0.779750748151344;-0.13125313768587585;
3;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.572074172310321;0.2809980809688568;0.2785712480545044;0.083697609603405;0.35434980003094063;-0.6662455303982879;1.1698920736167902;0.051369419739526405;0.047296260608992516;0.020046970264404246;0.2857277070297561;0.2805759450809448;0.7730153799057007;-0.14008304476737976;0.14038819074630737;0.30685608531745595;2.0448656044709774;3.649928939125728;0.0486305802604736;-0.023669698473685635;-0.0424815102207439;0.7706484100583321;-0.14433119578945416;
4;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.457873850718928;0.27430978417396545;0.27847811579704285;0.0983467772603035;0.3584496261645048;-0.6810753484074151;1.174050881167338;0.05100641882175966;0.04704441857418771;0.019709831101188572;0.2790142260313842;0.2804490989071617;0.7588005065917969;-0.16714172065258026;0.1273505985736847;0.30808125063832736;2.144236108053243;3.7554167195935806;0.04899358117824035;-0.028220187718223825;-0.040049868936327816;0.7559784878199745;-0.17114670754621306;
5;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.341677991946606;0.2638735771179199;0.28231245279312134;0.12517833709716797;0.36804348735598524;-0.6965459837347021;1.202183742606116;0.05063680644186467;0.047235438935062705;0.018245533021614618;0.2685971210114262;0.2841370060952828;0.7427804470062256;-0.1939951479434967;0.1281471848487854;0.31076753832110887;2.2449613314982777;3.869543424043139;0.049363193558135336;-0.03284336655940841;-0.03685156918371682;0.7394961103502847;-0.19768030486186838;
6;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.23783731076466;0.2671794593334198;0.2826750576496124;0.1568697839975357;0.36621113087055457;-0.688986184431745;1.2015093868849294;0.05030634679994216;0.046914942523489586;0.01815810277462157;0.27187095358576874;0.28449086792707456;0.7221598029136658;-0.22223415970802307;0.14533554017543793;0.3142339888868961;2.3563618119831826;3.9982082846729248;0.04969365320005784;-0.03755002201935301;-0.0325492705711468;0.7184048007117305;-0.22548908676513776;
7;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.1668538141289524;0.2634354531764984;0.2772756814956665;0.18646349012851715;0.3644785156393926;-0.7063341527821139;1.1763339446963754;0.050080408600325074;0.04623439902282459;0.01924649767032304;0.2680588930787809;0.27920033126269883;0.7027798891067505;-0.25021037459373474;0.1692076325416565;0.3220635263119422;2.460519661346844;4.141189338237948;0.04991959139967493;-0.04199500623146609;-0.026988609766522315;0.6985803884836039;-0.25290923557038697;
8;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.257348680915171;0.2675238847732544;0.2730747163295746;0.2097148895263672;0.3586292582171688;-0.7052644533093331;1.1506890615861898;0.050368446422810555;0.04598866806400155;0.02054319363552369;0.27212275157965454;0.27512903569312697;0.6884427666664124;-0.28174400329589844;0.19054919481277466;0.33895480480750106;2.5520842276058384;4.3152461246259906;0.04963155357718945;-0.04576872268628535;-0.019196748009788937;0.6838658943977838;-0.2836636780968773;
9;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.294517637254777;0.271438866853714;0.2698954939842224;0.23259899020195007;0.3536718383729495;-0.7026627712024089;1.1303154388465924;0.05048673740093152;0.04566761319706977;0.02152625741445634;0.27600562817342095;0.27204811972566806;0.6895853877067566;-0.309403657913208;0.2133159190416336;0.36286807900667517;2.5918548660523673;4.467211840438816;0.049513262599068485;-0.04803253596755833;-0.012018263673656392;0.6847821341100008;-0.31060548428057366;
