i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.20969203114509583;0.31830573081970215;0.1655290126800537;0.43080999878522397;-0.7394280560808228;1.5727736802371308;0.3;0.29999941351119574;-0.000593205646104992;0.269691913847335;0.31818708969048115;
1;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.1904037445783615;0.2975310981273651;0.1990894079208374;0.42938863017548123;-0.8052680792441697;1.5014948230044007;0.3;0.2992798835136049;0.020773813421783496;0.2502597212810825;0.30168586081172183;
2;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.18470482528209686;0.2913552522659302;0.195747509598732;0.429300512721959;-0.8248401647245428;1.4815837815671742;0.3;0.2988069598528508;0.02672827610409615;0.244466217252667;0.29670090748674943;
3;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.1904473453760147;0.29276689887046814;0.19074232876300812;0.42606959884388285;-0.8132594740627663;1.4805916844938936;0.3;0.2987802957613545;0.027024708412072267;0.2502034045282856;0.2981718405528826;
4;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.20253726840019226;0.30948761105537415;0.17858098447322845;0.4292629241939977;-0.7655887891045645;1.540690504409076;0.3;0.2998640561870787;0.009030382441099867;0.262510079637608;0.3112936875435941;
5;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.20162807404994965;0.347993403673172;0.16337233781814575;0.45839417011474043;-0.7087784328940167;1.6989453701556294;0.3;0.29754004265688777;-0.038339575059426784;0.2611360825813272;0.34032548866128665;
6;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.17470170557498932;0.3762763440608978;0.14516985416412354;0.4973960870932301;-0.7128633085467776;1.8022684874832704;0.3;0.2919989161458339;-0.06882320080945285;0.2331014888041561;0.3625117038990073;
7;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.12789665162563324;0.3727012574672699;0.11132331192493439;0.5266565571500079;-0.784595390482547;1.7946099490615746;0.3;0.2925174328258839;-0.0665849194108883;0.18640013819081003;0.35938427358509223;
8;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.09497962892055511;0.3611063063144684;0.10665485262870789;0.5426225810352993;-0.8426550987222228;1.7667910938614964;0.3;0.29425632948309227;-0.058422705852586375;0.15383089481717357;0.3494217651439511;
9;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.08949489146471024;0.365515798330307;0.13077831268310547;0.5496510192500434;-0.8433076962463187;1.778536889049756;0.3;0.29354982601133917;-0.06187487089855211;0.14820485666697808;0.3531408241505966;
10;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.10469216853380203;0.3802669644355774;0.14696559309959412;0.5485173159158757;-0.8047889196902828;1.815091373195929;0.3;0.2910924224559233;-0.07256170883284299;0.1629106530249867;0.3657546226690088;
11;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.1285458207130432;0.39715445041656494;0.15819378197193146;0.5437921154222727;-0.7519732206979813;1.8595730354966569;0.3;0.2875778883948681;-0.08543394001419329;0.18606139839201682;0.3800676624137263;
12;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.1528395414352417;0.4102512001991272;0.16716241836547852;0.5374257448761807;-0.7022921979065729;1.8976378543217969;0.3;0.2841183311943338;-0.09631601050368967;0.20966320767410845;0.39098799809838924;
13;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.17313823103904724;0.4180009961128235;0.17421720921993256;0.5306255259216202;-0.6636462770578967;1.9233600616426472;0.3;0.2815471582887888;-0.10359149414651626;0.229447662696805;0.3972826972835202;
14;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.18545036017894745;0.4193287789821625;0.17861638963222504;0.5241928087967491;-0.6435820798918547;1.9306815762867826;0.3;0.28078117234899463;-0.1056500508959848;0.24160659464874637;0.3981987688029655;
15;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.19172656536102295;0.41653937101364136;0.1795363575220108;0.5182060961707722;-0.637123535613484;1.9248046091385809;0.3;0.2813972217527276;-0.10399809416449067;0.24800600971156847;0.3957397521807432;
16;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.19300150871276855;0.40938419103622437;0.17954479157924652;0.5117064485845573;-0.6434391170164414;1.9045489683882777;0.3;0.2834459003426577;-0.09827726888217922;0.2496906887813001;0.3897287372597885;
17;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.1918092519044876;0.4024132192134857;0.1792476922273636;0.506870729288477;-0.6535722234710768;1.8836565625893893;0.3;0.2854371407851819;-0.09233438503818735;0.248896680061524;0.3839463422058482;
18;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.18991228938102722;0.39497727155685425;0.17741340398788452;0.5021567816164716;-0.665575301858802;1.8608321566486232;0.3;0.2874700887813644;-0.08579596759775177;0.2474063071373001;0.3778180780373039;
19;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.18905748426914215;0.38864174485206604;0.1759556084871292;0.4977224667730935;-0.6747866278887693;1.8411296126434196;0.3;0.28910458350802754;-0.08011578992090103;0.24687840097074765;0.37261858686788585;
20;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.18979258835315704;0.38317790627479553;0.17635811865329742;0.49300501630081806;-0.6805460918891482;1.8238643186846293;0.3;0.29044464887533045;-0.0751126217069143;0.24788151812822312;0.3681553819334127;
21;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.19255372881889343;0.37858590483665466;0.17921483516693115;0.4876991870037873;-0.6820702468801346;1.808957454736992;0.3;0.2915320311175094;-0.07077481778499702;0.2508601350423953;0.36443094127965525;
22;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.19661545753479004;0.37460657954216003;0.18271079659461975;0.4820500700581854;-0.6807334084108759;1.7955091073406848;0.3;0.2924574442043394;-0.06684791193048373;0.2551069463756579;0.3612369971560633;
23;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.20173269510269165;0.37055566906929016;0.1852760910987854;0.4756836018301379;-0.6777331540185607;1.781151464336527;0.3;0.2933870463340225;-0.06264216665631966;0.26041010436949613;0.35802723573802625;
24;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.20700088143348694;0.36659562587738037;0.18672269582748413;0.4692982382165757;-0.6742794040206036;1.7664182861811513;0.3;0.294278089467345;-0.05831300077554967;0.26585649932695593;0.3549330257222704;
25;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.21358586847782135;0.3622041344642639;0.18735221028327942;0.46176280681602155;-0.6690772528630281;1.749100853698247;0.3;0.2952437455126395;-0.053208370917251044;0.27263461758034924;0.3515624602808137;
26;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.21990451216697693;0.35813698172569275;0.18867851793766022;0.454659850859968;-0.6637246406669397;1.73211976038923;0.3;0.29610467154533904;-0.04818737893916691;0.27912544647604476;0.3484995059378594;
27;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.2267223596572876;0.35437774658203125;0.19081486761569977;0.447508945143937;-0.6568989274505861;1.71531466610797;0.3;0.29687261622343397;-0.04320474206211251;0.2860968829019744;0.34573679816960873;
28;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.2339906245470047;0.35071393847465515;0.19194163382053375;0.44018320557388013;-0.6489060148213719;1.6978415616953557;0.3;0.2975821809352564;-0.038011124553429344;0.29350706073405597;0.3431117135639693;
29;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.23659494519233704;0.32734349370002747;0.1790718287229538;0.420161856629047;-0.6775849266960421;1.5925351345193854;0.3;0.2999291164273618;-0.006521128667803224;0.2965807684778094;0.3260392679664668;
30;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.25231143832206726;0.29613247513771057;0.1473185271024704;0.38606225717786746;-0.6965520597188769;1.4164528724235197;0.3;0.2964338026212145;0.04611941742397496;0.3115981988463102;0.30535635862250554;
