i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.103789687668635;0.6263220906257629;0.10754913091659546;0.05697685852646828;0.37833530933075055;-0.33302175809805046;0.6912573495018276;0.5616750967633608;0.3580714714907495;0.4327398012993259;0.6621292377748379;0.15082311104652804;0.1489332616329193;-0.21487043797969818;0.018674500286579132;0.6020924431505339;-1.512417377609002;0.5303612572119203;0.4383249032366392;0.22172446220618736;0.37810975080892334;0.17110570785353804;-0.17705946289880586;
1;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.125027050255486;0.6224263906478882;0.10356161743402481;0.05400191247463226;0.37587344030363323;-0.3462850816905318;0.6690585550705295;0.5623257782661281;0.3487813195521399;0.44109168211843974;0.6573045226031021;0.14767078564586877;0.1517394781112671;-0.2102452665567398;0.023828521370887756;0.5995799286848449;-1.5044433386146316;0.5283189006395018;0.4376742217338719;0.22062376843832737;0.377999837526978;0.17380185495509984;-0.172445282804042;
2;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.142543353460681;0.6207302808761597;0.10281047970056534;0.052093926817178726;0.37574711558294044;-0.35120960853120875;0.6636781722762185;0.56286205546153;0.34673339719965784;0.4433843081850809;0.6554036205961254;0.14714891051907342;0.15588973462581635;-0.20300042629241943;0.027332326397299767;0.5959664146171973;-1.4918515622501136;0.5263282491990462;0.43713794453847;0.21960146063637875;0.37797457724255407;0.17784988068945423;-0.16520296856816402;
3;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.1486370580698635;0.6217570304870605;0.10514608770608902;0.05722343921661377;0.37759105238662344;-0.3465283307145429;0.6750391116537714;0.5630485350662426;0.351864711021847;0.4395621434766124;0.6569435015892453;0.14910230205375025;0.1599903702735901;-0.19692198932170868;0.035542916506528854;0.592392301087261;-1.4810765798242658;0.5224762196618085;0.43695146493375736;0.2180508073102204;0.37865608160851943;0.18179545100461214;-0.15905638116085674;
4;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.1385666821403095;0.6248145699501038;0.11054204404354095;0.06937501579523087;0.3816568582114988;-0.33419116400783977;0.70229932151801;0.5627403377415143;0.3635159650476349;0.4295728469967816;0.6611661664548673;0.15349932874321912;0.16154487431049347;-0.19571685791015625;0.06301101297140121;0.590953546791454;-1.4788097890471164;0.5187982333170047;0.4372596622584856;0.216809459298762;0.3797231499355595;0.18322582024036968;-0.15774454291660028;
5;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.139552541109865;0.6307926177978516;0.11807495355606079;0.08664032071828842;0.3868973654689127;-0.3132069242284025;0.7429139512415265;0.5627705145888713;0.38067874636951593;0.41448081276840404;0.6688604924348032;0.1595230348329012;0.16417932510375977;-0.18295136094093323;0.07498318701982498;0.5896451332246875;-1.4568396902981244;0.5353340457794902;0.43722948541112877;0.22304316911707497;0.3760603244468796;0.18648364201546727;-0.14534532849624526;
6;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.139782767258849;0.6364456415176392;0.1266409009695053;0.09984826296567917;0.39338652825619386;-0.29282537975935613;0.7882207173120991;0.5627775615776064;0.39906546134467036;0.39681902849662076;0.6763521876521061;0.1663228038191674;0.16275279223918915;-0.17049458622932434;0.07489722222089767;0.5926047534754638;-1.4362279196800933;0.568199962109204;0.4372224384223936;0.23527626797598056;0.36852210026987303;0.18628041903678721;-0.13364237620233704;
7;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.143680911013531;0.6422334909439087;0.13476715981960297;0.11179272085428238;0.39957400785058644;-0.27308510972467515;0.8323610916353847;0.5628968703313991;0.41627504503175733;0.3789036467397647;0.6838609954470845;0.17265752449357943;0.16147646307945251;-0.1561068892478943;0.06990990787744522;0.595966332737159;-1.4125895058907307;0.6055899727773049;0.4371031296686009;0.24881974626625356;0.3593715067087024;0.18635843770607788;-0.12016973857702405;
8;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.1385046559897845;0.6482863426208496;0.14241057634353638;0.11928647756576538;0.40537850032248823;-0.25362056462521376;0.8752726693479049;0.562738439101439;0.4320245718672882;0.3605957849798168;0.6914887998075784;0.17847015484151807;0.1609349399805069;-0.14736922085285187;0.07188867777585983;0.5979387274329366;-1.3983012158150159;0.6278636874072141;0.4372615608985611;0.2568549685638569;0.3538688991187359;0.18662043683689258;-0.11198233094097827;
9;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.136926469703571;0.6541385650634766;0.1510302722454071;0.12230617552995682;0.4123283812270441;-0.23463508304503694;0.9230307929922965;0.5626901287990308;0.4487082844142647;0.3395306415419339;0.699009393504903;0.1849833363996005;0.16375817358493805;-0.13731339573860168;0.0771586000919342;0.5969738267448855;-1.3808939205210524;0.6413722163718437;0.43730987120096915;0.26164054015639393;0.3504056951541722;0.18992222760057745;-0.10227282622318447;
10;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.117824080377;0.6636233925819397;0.15711311995983124;0.12657923996448517;0.4161754566916238;-0.2090682585941175;0.9648460458681196;0.5621051487228452;0.46202864650889114;0.3201432929578474;0.7098262572328288;0.18912744925561598;0.16834278404712677;-0.13429072499275208;0.0889725610613823;0.5930545954570712;-1.3744294853967038;0.6318489371992677;0.4378948512771548;0.25863722627652036;0.35335348584530685;0.19420650667477882;-0.09895537640822138;
11;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.0996773800881225;0.6723052263259888;0.1650300920009613;0.12998700141906738;0.42223980760058877;-0.18506077777331745;1.0149206386514877;0.5615490411959301;0.47700147432317175;0.2963223230902271;0.720005373758306;0.194662324309984;0.1740279644727707;-0.13190831243991852;0.10235954821109772;0.5879535971317531;-1.368568704864781;0.6165400979025113;0.43845095880407;0.25351924937640835;0.35772508085376226;0.19937988941041151;-0.09613580435454229;
12;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.082577088376452;0.6815891265869141;0.17308549582958221;0.13551239669322968;0.42858066263249056;-0.16030766267931207;1.0675056717137792;0.5610246524779264;0.491457701741748;0.27058822606812954;0.7307348967610888;0.20014431843639516;0.18039678037166595;-0.12866456806659698;0.11675628274679184;0.5823831340736351;-1.3609158814824465;0.6006165612509853;0.43897534752207357;0.24808746022484757;0.3621490961072662;0.2052055263941507;-0.09244965845587036;
13;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.076076375650905;0.6893531084060669;0.17988994717597961;0.1424911618232727;0.4341467633680721;-0.1401505020869983;1.1125601607772513;0.5608252168083192;0.5029672088683869;0.24809052906397447;0.7396498292929056;0.20469900008237707;0.18714629113674164;-0.12204301357269287;0.12371928989887238;0.5772151141097084;-1.3472594336156798;0.5919821219407022;0.43917478319168074;0.245062583335982;0.36444316489701745;0.21165254947033985;-0.08559869708299113;
14;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.071316706699931;0.6963024139404297;0.185459166765213;0.14970488846302032;0.4387574690742923;-0.12269317479139208;1.1509564650644157;0.5606791640298393;0.5119865484327049;0.2285408042367162;0.7475010687837002;0.20831324718888464;0.19356660544872284;-0.1160501167178154;0.13687123358249664;0.5723291830783821;-1.3345617752710475;0.5832464452427573;0.4393208359701607;0.24195005221703222;0.36669192675827517;0.21776161067042607;-0.07938092404198788;
15;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.065689773774137;0.7030196785926819;0.18944840133190155;0.15741272270679474;0.44195254047544397;-0.10650296159514296;1.1818170680620868;0.5605064654665554;0.5186347558966377;0.2125687837050537;0.7548831541823456;0.21070527970240693;0.19907651841640472;-0.11120378226041794;0.15049584209918976;0.5681382513253297;-1.323998495000592;0.5751558356522377;0.43949353453344464;0.23906934669894958;0.36878234009458416;0.2229834530862997;-0.07432554825095952;
16;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.059227479814236;0.7104671597480774;0.1952408105134964;0.16579914093017578;0.4469924214179691;-0.08855756385844685;1.2231576262900967;0.5603080839997239;0.5267903298410119;0.19088503708106494;0.7631461927321785;0.2143293142216029;0.20494230091571808;-0.10600575059652328;0.16097870469093323;0.5637572520086302;-1.3125153912237963;0.5668824947356408;0.4396919160002762;0.23611666939875928;0.3709149490490117;0.228553967855594;-0.06891425569162211;
17;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.044922722017715;0.716973066329956;0.20171140134334564;0.1723744422197342;0.452917176149475;-0.07298525031171799;1.2666067058904715;0.5598687836930623;0.5341652025991566;0.16769195355219346;0.7703895865898717;0.21848059669856498;0.20763657987117767;-0.10598182678222656;0.17598891258239746;0.561158902371528;-1.3112478354735893;0.5563128372175099;0.44013121630693774;0.23241508565422078;0.37376291352696517;0.23087808843659974;-0.06860553542953005;
18;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.033945244021657;0.7233415246009827;0.20872533321380615;0.1762596219778061;0.45949929884899443;-0.05804895266002451;1.3129457602369308;0.5595315077555608;0.541033576755914;0.14268208364722484;0.777444882276574;0.22299354157852863;0.21016812324523926;-0.10436384379863739;0.18655306100845337;0.559131777985901;-1.3072890158179533;0.5509766926082176;0.4404684922444392;0.2305939038017423;0.3752851505050025;0.2332275136254135;-0.06683532874813713;
19;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.020652322416241;0.732516348361969;0.21600228548049927;0.1810823678970337;0.46633014930159594;-0.03750079260527581;1.3665101932977721;0.5591229102395713;0.5474965390931212;0.11342825237048325;0.7872660022712811;0.2273451107175476;0.2132514864206314;-0.10100974142551422;0.19322536885738373;0.5570431437328295;-1.3000337773686201;0.5486012084034991;0.4408770897604287;0.22991485132148634;0.37618050111275564;0.23624297155278004;-0.06339169131423866;
20;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;5.0071623182261025;0.7414243221282959;0.22092321515083313;0.18400412797927856;0.47100129173809824;-0.01820834020853979;1.4085978905760668;0.5587080531958777;0.5513748128006272;0.0902247444717965;0.7965618034083586;0.2299456895980128;0.21285201609134674;-0.09753648191690445;0.19370721280574799;0.5583664396822262;-1.2942313291620238;0.5605116541081352;0.4412919468041223;0.23459946145134442;0.3737668725300725;0.23631196223648118;-0.0601597946638972;
21;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.999935191114412;0.750720202922821;0.22286471724510193;0.18891669809818268;0.4728652657021239;0.0015230621775452326;1.4374691066232947;0.5584857148096289;0.553529201389385;0.07424093786888665;0.8060731230617595;0.2302888110319906;0.21329271793365479;-0.09038354456424713;0.19053830206394196;0.5599393891028895;-1.2817270538876286;0.5802480125617675;0.4415142851903711;0.24205198284843077;0.3692501883903478;0.23749791621849786;-0.053458525725212355;
22;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.993678874060068;0.7598835229873657;0.22496210038661957;0.1912386417388916;0.47506492275299705;0.02080607435781687;1.4675670390722342;0.5582931962027915;0.5553211708971986;0.05752990595936184;0.8154156400770856;0.23071509098255574;0.21324989199638367;-0.08273027092218399;0.1881868690252304;0.5622097835396141;-1.268700358761701;0.6036583083637688;0.4417068037972085;0.25073840987616725;0.36364151349030105;0.2383237329840004;-0.04636611957315388;
23;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.970443491459125;0.7705622315406799;0.22577768564224243;0.19492900371551514;0.47622180916146734;0.04319127269959226;1.4956521187512335;0.5575778232847971;0.5560043399370908;0.04185932381360775;0.826162665534389;0.2299636180236032;0.20745494961738586;-0.08143029361963272;0.1952856332063675;0.5681292789531591;-1.2695505430208684;0.6295635908219046;0.44242217671520284;0.2604946697864497;0.3576030053876319;0.23350441659603083;-0.04566999308086953;
24;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.953949714097721;0.7801949977874756;0.22651684284210205;0.1979672908782959;0.47747255356050594;0.06328145951690181;1.521913308892973;0.5570696539210779;0.5564042137058745;0.027220402092862347;0.835835419158063;0.2292388830513883;0.2042945772409439;-0.07829390466213226;0.2027152180671692;0.572081630193469;-1.2659541335649633;0.6507590502508005;0.4429303460789221;0.2683229953484522;0.3524061033024658;0.23112687677578914;-0.043053294331885684;
25;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.941126183511844;0.7905212044715881;0.2274603396654129;0.20055603981018066;0.4791767356260524;0.08466532862546905;1.5517191196064335;0.5566743605617284;0.5565730656466703;0.010619147963766359;0.8461785110362552;0.22852225446178953;0.2034904509782791;-0.07288539409637451;0.20831148326396942;0.5744930554813708;-1.2573937950422733;0.6699491297460181;0.4433256394382716;0.2752813326139024;0.34750224531312945;0.23101858423966937;-0.038135169565061564;
26;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.927822016396865;0.8018824458122253;0.22899547219276428;0.20272447168827057;0.4817971051849811;0.1078944738507654;1.5879263950688451;0.5562640644779917;0.5561824516218209;-0.009528375387027775;0.8575006909744074;0.2280426346540615;0.2011379450559616;-0.06608377397060394;0.20936350524425507;0.5788564014972007;-1.2474688169319554;0.6988948848283836;0.44373593552200824;0.2854873008560376;0.33970366722119166;0.22968667514156538;-0.03211340724848478;
27;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.914772898123568;0.8142445087432861;0.2287885546684265;0.20485833287239075;0.4830795348440534;0.1333846726546165;1.6197796597903493;0.5558614503870116;0.5551947259270484;-0.02721705952416092;0.869763981335991;0.22606684871601043;0.1973489671945572;-0.05713414028286934;0.20842155814170837;0.5853378544954619;-1.2350277364014017;0.7390691962884912;0.4441385496129883;0.29917183821032794;0.3282609670280374;0.22726615101558997;-0.024308043580065594;
28;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.907786678369358;0.8250012993812561;0.22676882147789001;0.20654453337192535;0.48263205865575587;0.1560329415395551;1.6402068691841651;0.5556458250514399;0.5543078606263203;-0.03853671684208634;0.8804320854438882;0.22291514979368138;0.20983007550239563;-0.05194636806845665;0.21511425077915192;0.5753336322978371;-1.219365687270673;0.711663004850026;0.4443541749485601;0.29020505822789466;0.33649911882969297;0.2388505813251851;-0.01829645618548735;
29;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.5;0.5;0.1;4.902571198999235;0.8363685011863708;0.2220028042793274;0.20600973069667816;0.47983972870608493;0.18098083691107847;1.6513151520810525;0.5554848188635395;0.5536851093654664;-0.0446786711397152;0.8917370121229174;0.21753493716535588;0.2160501927137375;-0.04218577966094017;0.21616911888122559;0.5729652230948822;-1.199633271269273;0.7209844600725455;0.44451518113646044;0.293435350599211;0.33390034633030613;0.2453937277736586;-0.008795745027909557;
