i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0.0005;0.0005;5.0;0.5;3.141592653589793;0.7;0.7;3;3.3311543060026216;0.529453694820404;-0.06935940682888031;0.052024293690919876;0.5335469501240169;1.7021073027374418;3.439091343428497;0.9304262994872472;-0.27273557442716156;-0.8895551726674511;0.5021801373776879;-0.15831492409562542;3.383577823638916;2;-0.3718360364437103;0.1242489144206047;0.0057798572815954685;0.39236197299800873;-1.249923698439522;-0.17285831680445302;0.46957370051275277;-0.08076609779739986;0.46257572100124456;-0.37991264622345033;0.17050648652072917;3.3888564109802246;2;
1;0.2;0.05;0.001;0.001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.327271406886131;0.5322332978248596;-0.07067535817623138;0.053842220455408096;0.5360468017697402;1.7049090031485983;3.4540249238290865;0.9264841636280159;-0.28477720298200077;-0.8816319243966001;0.5037555775266596;-0.1588385506158914;3.3519062995910645;2;-0.37925204634666443;0.12692348659038544;0.008889216929674149;0.40056003698060644;-1.2510048971448575;-0.1416135232432454;0.473515836371984;-0.06683234184688208;0.4687757303640207;-0.3859352805313526;0.1738010596267875;3.3519062995910645;2;
2;0.2;0.05;0.0015;0.0015;5.0;0.5;3.141592653589793;0.7;0.7;3;3.3232470410831607;0.5352283120155334;-0.07225705683231354;0.06039048731327057;0.5388005331099032;1.7081187213383338;3.470537345814209;0.9223569969186003;-0.2979623385651746;-0.8729037029142855;0.505432078159016;-0.1595474271237421;3.3624634742736816;2;-0.3876756429672241;0.1300268918275833;0.017824964597821236;0.40984978101959696;-1.2518195447580915;-0.10450157964684798;0.4776430030813996;-0.04982364880037069;0.4750373063379709;-0.3926580078472612;0.1775306224613804;3.3519062995910645;2;
3;0.2;0.05;0.002;0.002;5.0;0.5;3.141592653589793;0.7;0.7;3;3.3223900916233062;0.5342065095901489;-0.0751180425286293;0.06578921526670456;0.5377647825337549;1.7146972342450715;3.4721201533133543;0.9214727194938414;-0.29905661809388484;-0.8715945800345617;0.5043008477807605;-0.16227750053208548;3.3677420616149902;2;-0.39855754375457764;0.13683243095874786;0.03841559961438179;0.4226418463627873;-1.2460979813112076;-0.04436915647601719;0.47852728050615856;-0.02122488622389856;0.478056338095629;-0.4006800323769675;0.18463806476831077;3.3782992362976074;2;
4;0.2;0.05;0.0025;0.0025;5.0;0.5;3.141592653589793;0.7;0.7;3;3.2993588937924234;0.536381721496582;-0.08663717657327652;0.07984019070863724;0.54127176981218;1.7362309142002035;3.5105295351288515;0.8969965971093956;-0.3234785487232917;-0.8366388251460174;0.5040338666242529;-0.17030105908787826;3.383577823638916;2;-0.39855754375457764;0.13683243095874786;0.03841559961438179;0.42295668266353437;-1.2475954991869596;-0.04449662826107992;0.5030034028906043;-0.022374570305125827;0.5025055242713145;-0.4007950007850902;0.1870829833858793;3.3782992362976074;2;
5;0.2;0.05;0.003;0.003;5.0;0.5;3.141592653589793;0.7;0.7;3;3.275906016535001;0.5325620770454407;-0.1036897674202919;0.09465952217578888;0.5402024619685449;1.7696029439186942;3.538768015650177;0.8706948572900886;-0.3367979430532487;-0.8029176047805331;0.4988822827401158;-0.1839815278983452;3.3782992362976074;2;-0.4155776798725128;0.14783400297164917;0.07470390945672989;0.44292681393684835;-1.2376763467258904;0.05514241511639267;0.5293051427099114;0.029172374651362368;0.5285006212450087;-0.4126604424073766;0.20068406509615005;3.399413585662842;2;
6;0.2;0.05;0.0035;0.0035;5.0;0.5;3.141592653589793;0.7;0.7;3;3.253966546731972;0.5236779451370239;-0.12285031378269196;0.10289257764816284;0.5353031817577413;1.809079904514209;3.5545923817882867;0.8449005982827867;-0.3391081581344578;-0.7738621828628574;0.48976712932357813;-0.20023653206897768;3.3677420616149902;2;-0.43267688155174255;0.16304205358028412;0.09343726187944412;0.4644393812553121;-1.2201388559334063;0.17469330516659695;0.5550994017172132;0.09647967259846098;0.546650728127295;-0.42302891429189643;0.21770712639301362;3.373020648956299;2;
7;0.2;0.05;0.004;0.004;5.0;0.5;3.141592653589793;0.7;0.7;3;3.2330643097279097;0.5149506330490112;-0.1444392055273056;0.11073745042085648;0.5320758847671665;1.853529421832889;3.5833509419382263;0.8193506491408122;-0.35029667178996515;-0.7406940852878088;0.4799209658700147;-0.2185086140560865;3.3624634742736816;2;-0.4392217695713043;0.17805691063404083;0.1017538383603096;0.47617365021742314;-1.1965915756187877;0.2556318386270111;0.5806493508591877;0.1468211166266563;0.5617804093822584;-0.4245396579086387;0.23423495157226668;3.3360705375671387;2;
8;0.2;0.05;0.0045000000000000005;0.0045000000000000005;5.0;0.5;3.141592653589793;0.7;0.7;3;3.2114364040175443;0.5054327845573425;-0.16583821177482605;0.11734247952699661;0.5291018437267239;1.898572527248404;3.6138639724239563;0.7920426403236361;-0.36030823733636386;-0.7053435462229731;0.46940196082370617;-0.23637256639712337;3.357184886932373;2;-0.4399380683898926;0.19115978479385376;0.10342992842197418;0.48204467831667497;-1.1731763759136382;0.3080833777577311;0.6079573596763638;0.18435262069405883;0.5793326008674878;-0.4215028063204867;0.24909304488060255;3.3255133628845215;2;
9;0.2;0.05;0.005000000000000001;0.005000000000000001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1903585705031356;0.4941849112510681;-0.1833353489637375;0.11801239848136902;0.5241870668616387;1.9383036701741445;3.6294508774066525;0.7647359865891485;-0.3584585614348272;-0.675520975927878;0.4583390551075854;-0.2508874465565253;3.346627712249756;2;-0.44007816910743713;0.2017735093832016;0.10230432450771332;0.48663578846094885;-1.1545230665023067;0.3495513902105897;0.6352640134108514;0.2175629076955029;0.5968473405569806;-0.41832187833788687;0.2614582434388997;3.3096776008605957;2;
10;0.2;0.05;0.005500000000000001;0.005500000000000001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1808392863159765;0.4907917380332947;-0.2035309076309204;0.12640021741390228;0.5283956768827526;1.9775123887007275;3.6893444810771228;0.7522284267241405;-0.3917374617811214;-0.6421754954910379;0.45161799185518253;-0.2677484571800242;3.346627712249756;2;-0.4374310374259949;0.21725884079933167;0.10240379720926285;0.49094776766163706;-1.1248336321628836;0.4007324019342518;0.6477715732758594;0.2526910427519906;0.5964522177485752;-0.4121619331507958;0.2769040625741892;3.3096776008605957;2;
11;0.2;0.05;0.006000000000000002;0.006000000000000002;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1844894369107846;0.48981595039367676;-0.21608127653598785;0.12998200953006744;0.5323513569468858;2.0011260536707964;3.732290105277527;0.7570352957242366;-0.42162356201075013;-0.6287575136168548;0.44765359419260176;-0.27895702789767335;3.3519062995910645;2;-0.43099015951156616;0.229752779006958;0.11087124794721603;0.49094368885166517;-1.0975698165980086;0.4279758651613014;0.6429647042757634;0.26684969294820615;0.5849742321828099;-0.40430519021674555;0.288250202225239;3.33079195022583;2;
12;0.2;0.05;0.006500000000000002;0.006500000000000002;5.0;0.5;3.141592653589793;0.7;0.7;3;3.185653276083542;0.4811735451221466;-0.2250489443540573;0.13842611014842987;0.528138133512725;2.024641814917354;3.735211409562482;0.7585652034306128;-0.4243143281686461;-0.6287913157531023;0.438742112305282;-0.28792807592936753;3.346627712249756;2;-0.42445307970046997;0.24076040089130402;0.11940620839595795;0.49050840189447736;-1.072890216178696;0.45048370127634413;0.6414347965693871;0.279281371503869;0.5774430827197854;-0.3965249425500831;0.29850470916328253;3.3413491249084473;2;
13;0.2;0.05;0.007000000000000003;0.007000000000000003;5.0;0.5;3.141592653589793;0.7;0.7;3;3.187496776162895;0.47230666875839233;-0.23311565816402435;0.14916245639324188;0.5236084656368486;2.047191411263421;3.7354863379157344;0.7609856968258187;-0.42584167395911826;-0.6306806636429985;0.4297225013624805;-0.2961837245283242;3.3677420616149902;2;-0.4265100061893463;0.2565365135669708;0.1258329302072525;0.5001993573261027;-1.048497119753273;0.5232959933420067;0.6390143031741812;0.3193395764500067;0.5534993356580608;-0.39457604854434564;0.3118864471327769;3.3360705375671387;2;
14;0.2;0.05;0.007500000000000003;0.007500000000000003;5.0;0.5;3.141592653589793;0.7;0.7;3;3.183966997969882;0.46352773904800415;-0.24124550819396973;0.15650376677513123;0.5194570498394557;2.070148296133605;3.737924687156065;0.7563480892226537;-0.42477369302311013;-0.6258032772255735;0.42105036974569315;-0.30382583591652707;3.357184886932373;2;-0.4236387014389038;0.2669500708580017;0.13625094294548035;0.5031847763462706;-1.0290700130761006;0.5576488497152723;0.6436519107773462;0.340615897343589;0.5461397190501259;-0.3895771117045449;0.3215640427630143;3.3255133628845215;2;
15;0.2;0.05;0.008000000000000004;0.008000000000000004;5.0;0.5;3.141592653589793;0.7;0.7;3;3.189112574491204;0.45495283603668213;-0.25023260712623596;0.16124986112117767;0.5161888385314489;2.0947042525124844;3.7462686825863547;0.763104251811184;-0.43382139391780306;-0.6277954263225571;0.4115706966449018;-0.3130121497584917;3.346627712249756;2;-0.4155237078666687;0.28031933307647705;0.13747519254684448;0.5035177755475457;-0.9993684801759034;0.5890149108777185;0.6368957481888159;0.35382246669540873;0.5295713890709807;-0.38014146119712783;0.33327647198357513;3.33079195022583;2;
16;0.2;0.05;0.008500000000000004;0.008500000000000004;5.0;0.5;3.141592653589793;0.7;0.7;3;3.189348272103916;0.4420733153820038;-0.26782047748565674;0.16464738547801971;0.5141389171121399;2.1381986271049302;3.7795721206702675;0.7634130493495254;-0.45466862949140396;-0.6132502925181114;0.3966064524328634;-0.3291455067374679;3.3413491249084473;2;-0.4011290669441223;0.2979538142681122;0.15027320384979248;0.501576996162973;-0.955638407970738;0.6230427362343524;0.6365869506504745;0.37145414146515426;0.5169765628409617;-0.3639836527976069;0.34965147055220835;3.3255133628845215;2;
17;0.2;0.05;0.009000000000000005;0.009000000000000005;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1863176145750507;0.43403056263923645;-0.27943873405456543;0.16988779604434967;0.5136612526562874;2.1670359637841603;3.806032617051389;0.75943788009049;-0.46828332026975156;-0.5978767646208328;0.3872022306122613;-0.3392264105166487;3.3413491249084473;2;-0.39110326766967773;0.30749472975730896;0.16034822165966034;0.49918105782655925;-0.9298317288203786;0.636869909991955;0.64056211990951;0.38093069087911846;0.5149870272243009;-0.3530101985817659;0.358993432479739;3.33079195022583;2;
18;0.2;0.05;0.009500000000000005;0.009500000000000005;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1765144037094015;0.4258010983467102;-0.2904770076274872;0.1742488294839859;0.5131206579254228;2.195199298605095;3.831505043015657;0.7465172488069857;-0.4751355425595383;-0.5757900823763848;0.3782875440907564;-0.3480560158651257;3.346627712249756;2;-0.3825972080230713;0.3133845329284668;0.16984081268310547;0.4960705896267587;-0.9114716048650903;0.6396801974424796;0.6534827511930142;0.39008927372075813;0.5242805209377919;-0.34358828065099545;0.365812585022246;3.3360705375671387;2;
19;0.2;0.05;0.010000000000000005;0.010000000000000005;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1737650616671464;0.41866227984428406;-0.3040892779827118;0.18010489642620087;0.515419182327578;2.226082396819034;3.873822430651188;0.7428785244443056;-0.49663624461890676;-0.5524680466881122;0.3689986553823934;-0.359336082651523;3.346627712249756;2;-0.370977520942688;0.3228100836277008;0.18007881939411163;0.49294423607828647;-0.8833378486933974;0.6521942835219656;0.6571214755556943;0.39882790745692825;0.522249876850173;-0.33109473019699515;0.3750350713127181;3.33079195022583;2;
20;0.2;0.05;0.010500000000000006;0.010500000000000006;5.0;0.5;3.141592653589793;0.7;0.7;3;3.168852155551706;0.4105377197265625;-0.3166930675506592;0.18508218228816986;0.5168031353012847;2.2563603224900857;3.910975480163951;0.7363623532583493;-0.5122814208605418;-0.5289586573044045;0.3593095776405083;-0.36958893328109965;3.3413491249084473;2;-0.36064767837524414;0.33133864402770996;0.18681831657886505;0.49059966843127123;-0.8579728291377943;0.6658564053376076;0.6636376467416506;0.4099507590253439;0.5218767108688989;-0.31965260247270977;0.38352631511459984;3.33079195022583;2;
21;0.2;0.05;0.011000000000000006;0.011000000000000006;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1635282517256402;0.4010661840438843;-0.3306698799133301;0.18723176419734955;0.518545981350301;2.2901516594859297;3.9534134662138385;0.7292835121542592;-0.52912539534971;-0.5018772330919831;0.3481536445089133;-0.3808576032225284;3.346627712249756;2;-0.3494660556316376;0.3409920930862427;0.1929880976676941;0.4887029350864084;-0.8295053959680089;0.6848655653904971;0.6707164878457407;0.42427438896825387;0.5194726652421091;-0.3070386167348122;0.39293935961045356;3.3255133628845215;2;
22;0.2;0.05;0.011500000000000007;0.011500000000000007;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1615280323655397;0.39111557602882385;-0.3429540991783142;0.19071529805660248;0.5193704785487966;2.3219312170447504;3.9892787920772776;0.7266199306168116;-0.544784227226385;-0.4808187489428118;0.3366371533061854;-0.3910359740725954;3.3413491249084473;2;-0.3382534086704254;0.3513718545436859;0.19603046774864197;0.4876887577005912;-0.7997260577692951;0.7095916301686794;0.6733800693831883;0.43872329286769873;0.5108449766199438;-0.29438107938365554;0.40245635220568027;3.320234775543213;2;
23;0.2;0.05;0.012000000000000007;0.012000000000000007;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1618176294819893;0.3767487406730652;-0.3576240837574005;0.19726456701755524;0.5192914471817197;2.3628331773817752;4.029789253031014;0.7270056935152865;-0.5641094554356187;-0.4586041873901419;0.32033779512950333;-0.4034845024964147;3.3413491249084473;2;-0.32355520129203796;0.366085946559906;0.19815777242183685;0.48782594300156357;-0.7585345003158152;0.7514665534865289;0.6729943064847134;0.4594606748435212;0.49174914827905536;-0.2776091338076858;0.41526086138781154;3.320234775543213;2;
24;0.2;0.05;0.012500000000000008;0.012500000000000008;5.0;0.5;3.141592653589793;0.7;0.7;3;3.161963449846746;0.3636091351509094;-0.37216663360595703;0.19788135588169098;0.5208128683089149;2.401771228394025;4.07625866783727;0.727199920777818;-0.5849601299288416;-0.43202010505634747;0.3051131221580253;-0.4153686441115918;3.3360705375671387;2;-0.30950912833213806;0.3800498843193054;0.20320215821266174;0.4886540659734227;-0.7194506289388184;0.7946767673380359;0.6728000792221819;0.4801351732659658;0.4713068660588717;-0.2614956110055415;0.42718057092519257;3.320234775543213;2;
25;0.2;0.05;0.013000000000000008;0.013000000000000008;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1642938323076275;0.3496745526790619;-0.3876139223575592;0.200660839676857;0.5232984513720205;2.442700383565596;4.129466266014936;0.7303024496686723;-0.6096983766821042;-0.4020069122083234;0.2887047150108515;-0.42781461357839157;3.3360705375671387;2;-0.29415467381477356;0.3958040177822113;0.20649945735931396;0.4907982372385454;-0.67619109130636;0.8486288444983536;0.6696975503313276;0.5025241383838582;0.44267855071297724;-0.24390225997638773;0.440071872853509;3.3255133628845215;2;
26;0.2;0.05;0.013500000000000009;0.013500000000000009;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1614926943993695;0.3336661458015442;-0.4065632224082947;0.20586098730564117;0.528166140279227;2.4903382567465404;4.2010451645598605;0.7265728553154716;-0.6336352499219235;-0.35554814601915546;0.27030262080935186;-0.44211803701021024;3.3360705375671387;2;-0.27831703424453735;0.4125981628894806;0.20859390497207642;0.4944052235737765;-0.6313543560336876;0.9114753820819733;0.6734271446845284;0.5322824649202906;0.41252817689987703;-0.2250887877525083;0.45385098057946827;3.3149561882019043;2;
27;0.2;0.05;0.014000000000000009;0.014000000000000009;5.0;0.5;3.141592653589793;0.7;0.7;3;3.170093926156453;0.3198464512825012;-0.4215168356895447;0.2096811681985855;0.5321813280557044;2.529350908149568;4.259686381514629;0.7380109431386385;-0.6636698299619425;-0.3228041340978598;0.25347946828630696;-0.45379724909933067;3.3413491249084473;2;-0.26060765981674194;0.4297398328781128;0.21262750029563904;0.49824589859982654;-0.5837404728735716;0.9782855717911209;0.6619890568613614;0.5491471802429223;0.3696848466402731;-0.2056929417924497;0.4667083175421401;3.3149561882019043;2;
28;0.2;0.05;0.01450000000000001;0.01450000000000001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1654827715595264;0.3035922646522522;-0.44366106390953064;0.21175149083137512;0.5417433875595353;2.5787018617043325;4.355261197055147;0.7318842170749357;-0.6857058139292376;-0.25585551381010596;0.23502168325932843;-0.46924661529054124;3.3413491249084473;2;-0.2432740479707718;0.44550836086273193;0.21510723233222961;0.5022107793952821;-0.5390006739157318;1.0428490996683728;0.6681157829250642;0.5771471402882625;0.3365707620258364;-0.18555933394194554;0.47916543706531556;3.320234775543213;2;
29;0.2;0.05;0.01500000000000001;0.01500000000000001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.140250455870355;0.28806957602500916;-0.462054580450058;0.2147803157567978;0.5496799669615576;2.621708958050662;4.435977344033324;0.6982056235237329;-0.6717023757314006;-0.19054398745947634;0.2208993384518691;-0.4811089791960056;3.3413491249084473;2;-0.23598340153694153;0.4521080553531647;0.21584948897361755;0.504039799918299;-0.5212258932585708;1.0697666867389575;0.701794376476267;0.6155357496377302;0.3370921057687793;-0.17442982657316852;0.4858172659300426;3.320234775543213;2;
30;0.2;0.05;0.01550000000000001;0.01550000000000001;5.0;0.5;3.141592653589793;0.7;0.7;3;3.1361434730923605;0.26917755603790283;-0.4868760108947754;0.21785800158977509;0.5627912212889525;2.6739884662576046;4.548995670561092;0.6927156311499532;-0.6834893410208148;-0.11268214743432206;0.20082862193582135;-0.4981442256382076;3.33079195022583;2;-0.21643981337547302;0.46867287158966064;0.21827521920204163;0.5090792949762034;-0.4730533678296263;1.1431082873938747;0.7072843688500468;0.6435772205663218;0.2933590625628207;-0.15208209131884085;0.4980087778459427;3.3149561882019043;2;
