i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.482827027312002;4.898096721395363;0.3905714750289917;0.00944206491112709;0.03411918133497238;0.4009324341006634;1.7986306249249826;2.9095160301921283;0.4321089915768922;0.09938462253170319;-0.4205245265211407;0.400509937282162;-0.03261038774098698;0.6514438986778259;0.5198785662651062;0.003210600698366761;0.7750336531618526;0.9982723450573983;3.5111269184474256;0.2637842655479663;-0.0952739110174222;-0.2459776831952938;0.6419165075760838;0.49528079794557683;-0.18137215077877045;0.5452619791030884;0.025423653423786163;0.4807848657278182;-0.3868162407268249;1.088198398179045;0.17889307466401722;0.1584621011784007;0.08302104945658016;-0.16552594066093038;0.5535640840487464;
1;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.446834149123704;4.931126743177617;0.39143767952919006;0.005491700954735279;0.03825440630316734;0.40268508234552974;1.8077014351550957;2.9256480513995475;0.4315122640009401;0.09246021351029847;-0.42149014567466114;0.40068370088021993;-0.036657313612730835;0.6350910067558289;0.5339728593826294;0.004546917509287596;0.7692028533117046;0.9713502770992126;3.473979307541368;0.26786895777565367;-0.08740563531189749;-0.25320749091513567;0.6263504432246391;0.5086521102911158;-0.1759633719921112;0.5396509766578674;0.03182951733469963;0.47355684934234754;-0.38070828690275677;1.0586347269382141;0.17818942748658284;0.15532544768522522;0.08732397934920583;-0.16043082722358867;0.548383374592788;
2;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.422459861588208;4.961659856526817;0.3931692838668823;0.000203496208996512;0.04206603765487671;0.40563706431403046;1.819372478814767;2.949322612174325;0.4311027644313029;0.0823783912043553;-0.4231588285300138;0.40140712298731784;-0.042112386644004865;0.6287657618522644;0.5414708256721497;0.00572927575558424;0.7682726555053928;0.9586470332233884;3.4596182506061104;0.2711677120135203;-0.08479191331695127;-0.25756991181948663;0.6202865705205692;0.515713834490201;-0.16556571424007416;0.5360519289970398;0.03423190489411354;0.46642608258315205;-0.36287841742938104;1.0415990516951028;0.17754863753481898;0.15326222044515794;0.08963375745047364;-0.15023949219555838;0.5450153047420871;
3;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.443346626693177;4.9496558733299905;0.3971855640411377;-0.007073601242154837;0.04948130622506142;0.4113649576296463;1.8341174012858903;2.9877497722383337;0.43145394120969516;0.06611459956493367;-0.42635825676272243;0.40379702399763107;-0.04970942691842708;0.6474467515945435;0.5209715366363525;0.033464737236499786;0.7722721869964619;0.9942787207994817;3.5023259327643905;0.2691866596528988;-0.09501223433780397;-0.2518613369718024;0.6379455281607631;0.4957854029391723;-0.15448196232318878;0.5377573370933533;0.040966324508190155;0.4642156426298955;-0.3392507130501143;1.0544972468871097;0.17779946532653806;0.15462368657800946;0.08777337534485222;-0.13901959366538783;0.5465346746278384;
4;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.4741232935160715;4.927092914236042;0.39634230732917786;-0.007397626060992479;0.05982080101966858;0.41063545227190656;1.8354137974046076;2.9860015504052337;0.43196555450078444;0.06693914865372734;-0.4267474553558397;0.4030362221945506;-0.050072371596576445;0.6621799468994141;0.5009415745735168;0.056979089975357056;0.7741036289135982;1.0263517837410927;3.5375943599042006;0.2660063794863147;-0.10260732361866812;-0.24542031510702447;0.6519192145375472;0.4763995430628144;-0.15093931555747986;0.5410398840904236;0.05368203669786453;0.4661532541337181;-0.3297406092024515;1.0734104020762054;0.17827477476062525;0.15667372241069555;0.08506021409523948;-0.1352719433164103;0.5495459054999475;
5;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.4932475300470385;4.9015099106315345;0.39606964588165283;-0.011242171749472618;0.07436958700418472;0.4113951691067325;1.8446071292011388;2.9983657667020376;0.4322800037084907;0.06170265244636973;-0.4278536949557585;0.4022399111262898;-0.054027541245048466;0.6761666536331177;0.48367756605148315;0.07335803657770157;0.7774379834923161;1.0546693520685912;3.5716584358140624;0.2633736837017241;-0.1098085467363285;-0.2393904349180881;0.6651857989594848;0.45973852255967435;-0.1513534039258957;0.5462292432785034;0.06611170619726181;0.4711988862856757;-0.32700604447946074;1.1007679519075115;0.17881985322032945;0.1594278124248769;0.08098958285581197;-0.135410622683408;0.5543282015640846;
6;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.501133619245495;4.888019197473219;0.3958446979522705;-0.013401166535913944;0.08653023838996887;0.4117679558545448;1.8498027805885175;3.005120613869748;0.432408906413895;0.05882871748691892;-0.4283884269502444;0.4017275697009624;-0.05624000923093839;0.6813331842422485;0.47491255402565;0.08088496327400208;0.7776723803220208;1.067751092654427;3.585140728510777;0.26212600326711555;-0.11249056275435457;-0.2367613035949931;0.670084127966813;0.4512364236661507;-0.1533079743385315;0.5513848662376404;0.07061339169740677;0.4767091696875112;-0.32741501705194037;1.1274493493683255;0.1791099536353583;0.16179378036467346;0.07683194730428224;-0.13712859630206414;0.5590680609680686;
7;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.506572121252905;4.875026162282257;0.3954635560512543;-0.015257295221090317;0.09571602195501328;0.41191706479142753;1.8543894434012214;3.010331532468581;0.43249754363480614;0.05660723290184673;-0.4287770358045509;0.40112427934143896;-0.05813499880154541;0.6828721165657043;0.46688923239707947;0.08471928536891937;0.7751916127202635;1.07777625747454;3.590903911878891;0.26105620218063036;-0.11338852284022692;-0.23514545197618747;0.6715332642816817;0.4433746871994607;-0.1569295972585678;0.557583749294281;0.07802706211805344;0.48374557994254347;-0.33038288742278954;1.1593195715184292;0.17939110873399206;0.16441754359556468;0.07174985192187892;-0.14048784289901134;0.5647587344864688;
8;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.498979353484035;4.878547552641444;0.3953666388988495;-0.017238803207874298;0.10572843253612518;0.41238297265016644;1.8590683084700175;3.0169631680405478;0.43237373775907717;0.05374712600273016;-0.4290201575103458;0.4007413514991225;-0.060140818958908875;0.6743203997612;0.4648306965827942;0.09429191797971725;0.7666873148182324;1.0748623547744665;3.572991064402052;0.2617006196989669;-0.10942789017978426;-0.23772410732112212;0.6633776107432215;0.44105828585068196;-0.1590690016746521;0.5647417902946472;0.08552814275026321;0.4912106258419542;-0.3297753997636757;1.197102315434225;0.17931473865772102;0.16693936352838154;0.06546009780488918;-0.14237506532181393;0.5712878000751361;
9;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;5.48935496674221;4.887721977631012;0.3955862522125244;-0.02005462534725666;0.1110406368970871;0.4134024625069632;1.8654475989390227;3.027627135609125;0.43221621356167506;0.049151186140143924;-0.42941240802590747;0.4005013708265388;-0.06299586614984741;0.6637952923774719;0.46192577481269836;0.103515625;0.756051887542294;1.0716172585016472;3.550105238465399;0.2627952142960912;-0.10439401872132621;-0.24117050713580193;0.6533558905053393;0.4378087240991182;-0.15793655812740326;0.5705207586288452;0.09285736083984375;0.4963201997640179;-0.32384607104692675;1.228553330309655;0.1791163658332231;0.1687283839970487;0.06011160406315489;-0.14106371972769838;0.5765319190351607;
