i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4898088276386261;0.00722386222332716;0.03987769037485123;0.012491764467874205;-0.954165243276124;-0.5648544535356655;0.3;-0.1605878650367835;0.2533999558068782;0.47375004113494773;0.03256385780401498;
1;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4967954754829407;0.011184909380972385;0.03639066219329834;0.01163491191376189;-0.27902988749347746;0.10966464341808702;0.3;0.032833489485235505;0.29819785708187596;0.5000788244314642;0.04100469508915998;
2;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5001810789108276;0.012220889329910278;0.039540331810712814;0.012222230794166072;0.014816078914386207;0.40393281691817573;0.3;0.1179113056974813;0.27585670916023614;0.5119722094805758;0.03980656024593389;
3;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.49761930108070374;0.011350941844284534;0.04961838200688362;0.011597913954529408;-0.20673914417131323;0.18192881905764868;0.3;0.05427806870638891;0.2950489641695163;0.5030471079513427;0.04085583826123616;
4;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.49166399240493774;0.010447492823004723;0.06653019785881042;0.01336559497035844;-0.6734563975110467;-0.2835152255691994;0.3;-0.08391967824637664;0.28802341502562706;0.48327202458030005;0.03924983432556743;
5;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.48658955097198486;0.01156651135534048;0.0826278030872345;0.017709441777374362;-0.8590900220947713;-0.4659862398075838;0.3;-0.13479123168844678;0.2680136635694372;0.47311042780314017;0.0383678777122842;
6;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4837566316127777;0.014643837697803974;0.09592021256685257;0.021869819365569466;-0.8371381330996434;-0.4409594060435643;0.3;-0.12804218793490754;0.2713027793975613;0.47095241281928696;0.0417741156375601;
7;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.48286113142967224;0.01887044683098793;0.10666904598474503;0.025491853198073126;-0.7373482236669694;-0.33845511547595664;0.3;-0.0996090742997922;0.28298062180498945;0.472900223999693;0.04716850901148688;
8;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4838451147079468;0.02349686063826084;0.11316204071044922;0.0285146064088784;-0.6023102804283207;-0.20112481218744338;0.3;-0.059931478714624675;0.2939527476637674;0.4778519668364843;0.05289213540463758;
9;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.48562267422676086;0.028731314465403557;0.12044064700603485;0.03212780613891577;-0.4639724572047055;-0.06001395664994513;0.3;-0.017993381402734477;0.29945991088240126;0.4838233360864874;0.058677305553643685;
10;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4868597686290741;0.0338808111846447;0.1281007081270218;0.036339717211489285;-0.3699772387564445;0.03725984697463036;0.3;0.011175367886724623;0.2997917796614783;0.48797730541774653;0.06385998915079252;
11;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.48535430431365967;0.05399983003735542;0.15510055422782898;0.055950675118359036;-0.2648462058193028;0.15834065547226084;0.3;0.04730395135213142;0.2962470863763476;0.4900846994488728;0.08362453867499019;
12;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5073547959327698;0.0879184827208519;0.16841962933540344;0.0882255780777288;0.08346039221681856;0.5356049814447066;0.3;0.1531084177960697;0.25798800824841484;0.5226656377123767;0.11371728354569338;
13;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5012569427490234;0.08428066968917847;0.17012184858322144;0.08429004204727109;0.01491266711690539;0.4633300648320553;0.3;0.1340788658455867;0.26837074679174916;0.5146648293335822;0.11111774436835338;
14;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5019789934158325;0.0835384950041771;0.15872713923454285;0.08356193249622001;0.023685168598741414;0.47141927225936753;0.3;0.13624536208830984;0.267277386453522;0.5156035296246635;0.1102662336495293;
15;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.49403589963912964;0.04496774822473526;0.1197521761059761;0.0453615351759364;-0.13186103071424837;0.28257042621188777;0.3;0.08364751649418238;0.28810257372046416;0.5024006512885478;0.07377800559678167;
16;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.4962792992591858;0.04193304851651192;0.11188308149576187;0.04209779295747982;-0.08849779496923506;0.3233035263574129;0.3;0.09531019879785983;0.2844573184242452;0.5058103191389718;0.07037878035893644;
