i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;4.104974990926321;0.8548099398612976;-0.2447924017906189;0.0034045709762722254;0.10493923276277167;1.5211510431171555;1.9897871223411259;0.3183426407403113;0.2908059987890884;-0.12951412271175536;0.8838905397402065;-0.2577438140617944;0.5139111280441284;0.056051041930913925;0.016942327842116356;0.3865296828555266;-0.6570592731361093;0.3976697568373676;0.28165735925968866;0.1090777246121385;0.25967848971098817;0.5248189005053423;0.08201889090201274;
1;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.8313104306860732;0.8754435181617737;-0.2781258523464203;0.004154757130891085;0.12855792398376648;1.7913599317468856;2.2852861239200353;0.31315181076437315;0.23656353362105761;-0.2051871125234831;0.8990998715238795;-0.2986445635987686;0.5106762647628784;0.058037564158439636;0.02736886776983738;0.39008074956412897;-0.6605149447466273;0.4077482031003038;0.2868481892356268;0.1137476843341016;0.26333125142372976;0.5220510331962885;0.08437068930081261;
2;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.792077046736876;0.8789639472961426;-0.28095516562461853;0.01576134003698826;0.1326270032122034;1.8063693021218397;2.3049074192331043;0.31240585885396255;0.23193840406248759;-0.20928926720505336;0.9021577877023913;-0.30188409234512387;0.5022473335266113;0.05342157185077667;0.044984083622694016;0.3917218834952551;-0.6847389583208708;0.3898480954083953;0.28759414114603743;0.10929955307728756;0.2660150328809109;0.5131772888343401;0.08002307513886776;
3;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.705016682030461;0.8720980882644653;-0.2907894253730774;0.03211783990263939;0.12873119427746724;1.8932105968392527;2.3873315788516973;0.31074924154611705;0.21278564985322895;-0.226467124188095;0.8933766532497882;-0.3134361377918869;0.5040527582168579;0.05107581987977028;0.0620427243411541;0.38876303200923207;-0.6849580283098723;0.37825905429229334;0.28925075845388293;0.10682121722287322;0.26880332739229673;0.5147348799391452;0.07795615261899995;
4;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.6001354583512346;0.8476487994194031;-0.29553496837615967;0.05669121444225311;0.1077437764934415;2.007133563976611;2.478646606092661;0.3087513923119269;0.19001843315338995;-0.2433524549218357;0.866650642734742;-0.31987021386834324;0.5029841661453247;0.05802691727876663;0.07153075933456421;0.39483845296928805;-0.6759162848517408;0.4108000435183968;0.2912486076880731;0.11630807436428052;0.2670171966707652;0.5146149735817528;0.08472863694584315;
5;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3948651452808156;0.8129245638847351;-0.2985094487667084;0.07592800259590149;0.07945229612625436;2.227548802091299;2.6714623537391646;0.3048361143836737;0.1380915075022647;-0.2717642216854312;0.8267337146349616;-0.3256858709352515;0.5049281120300293;0.06526921689510345;0.07942663878202438;0.39931805543303156;-0.6607713598074717;0.4436533017765569;0.2951638856163263;0.12669672069528606;0.2665889351364539;0.5175977840995579;0.09192811040874885;
6;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.2236687458503908;0.7950642108917236;-0.3010881245136261;0.08072533458471298;0.06812326746137114;2.418762402368039;2.8524526977720503;0.30156750269759086;0.08598533510341416;-0.2890492705931206;0.8036627444020651;-0.3299930515729382;0.5075958371162415;0.07506199926137924;0.08790656179189682;0.4054936270117949;-0.6407541589611573;0.4886095334869063;0.2984324973024091;0.14008379025663925;0.26351183494007685;0.5216042161419053;0.10141318275538692;
7;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.228580880705228;0.7837620377540588;-0.3064402639865875;0.08582769334316254;0.06576761050990208;2.602504625601048;3.0341243340825397;0.3016613108576623;0.03235666655135244;-0.29992097725575606;0.786997704409194;-0.3364323617121631;0.5096980929374695;0.08231161534786224;0.09012743830680847;0.41009269224529543;-0.62607625510418;0.522251627136666;0.2983386891423377;0.14882114807528454;0.2585696024762436;0.5245802077449979;0.10816857559548661;
8;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.1914439875986145;0.7888008952140808;-0.3116661608219147;0.08409258723258972;0.07285756556410819;2.579972460472087;3.0178808779469843;0.30095208246040983;0.037136420728407914;-0.29865204200329853;0.7925145372869216;-0.3415313650222445;0.5111610293388367;0.09065762907266617;0.09512890875339508;0.41604287537691864;-0.611471527126528;0.5618790533785321;0.29904791753959015;0.15932594111920204;0.2530709415781395;0.5270936234507568;0.11596472323048011;
9;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.2174397112740145;0.7902618646621704;-0.31784752011299133;0.07670074701309204;0.0788942566449402;2.6060277335034634;3.0494271882861375;0.30144854432118573;0.02774382819213146;-0.3001691271110461;0.7930362474813836;-0.34786443282409596;0.5114740133285522;0.09025432169437408;0.09839621186256409;0.4155329707126575;-0.6114119777705522;0.5597730200372266;0.29855145567881425;0.1585289941304841;0.2529852361461355;0.5273269127416007;0.11555284530898763;
10;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.250302677988112;0.7870910167694092;-0.31834155321121216;0.06792693585157394;0.07775803122706706;2.6443480822632703;3.086704212372211;0.30207612674752393;0.01657216352777643;-0.30162120241586926;0.7887482331221868;-0.3485036734527991;0.5124544501304626;0.09282097965478897;0.09960375726222992;0.4170780650601157;-0.6059545957248414;0.5718045937086516;0.29792387325247605;0.1612216405911045;0.25053186795070626;0.5285766141895731;0.1178741664498596;
11;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.333155575012187;0.7808699011802673;-0.32212501764297485;0.05894266068935394;0.07845361029856372;2.73717911316525;3.180173404998207;0.303658134879318;-0.011712452895924578;-0.3034321692331695;0.7796986558906749;-0.3524682345662918;0.5141543745994568;0.09772860258817673;0.10818251222372055;0.420164658293031;-0.5959764618469368;0.5950234232841795;0.296341865120682;0.1661079581060057;0.2454111800164327;0.5307651704100573;0.12226972058982;
12;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4600683785663504;0.7712709903717041;-0.32569289207458496;0.06103016063570976;0.07862486211121705;2.8676411246822373;3.3107927959811403;0.30608038314946157;-0.05154209010996297;-0.30170948592316027;0.7661167813607078;-0.35586384066690097;0.515313982963562;0.09867644309997559;0.11872096359729767;0.42030083103091503;-0.5924272538841128;0.5991600534549344;0.2939196168505384;0.16575568473065977;0.2427216392269907;0.531889551436628;0.12294860702267466;
13;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.526016235196588;0.7678006887435913;-0.3332575261592865;0.06706900149583817;0.08513918123819664;2.93096111905061;3.3801778502138387;0.3073383361131115;-0.07263269632197969;-0.29863245682573586;0.7605374191113934;-0.3631207718418601;0.5152117013931274;0.09685719013214111;0.12710613012313843;0.4188501587788576;-0.5950551161459778;0.5902884678919886;0.29266166388688847;0.1628956868266447;0.2431375016782022;0.531501270075792;0.12117094029996134;
14;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4991231529528526;0.7703337669372559;-0.34099268913269043;0.08468987047672272;0.09323696452296738;2.9217388291255264;3.3787137581661404;0.3068254222760135;-0.07207490706578124;-0.2982399160513445;0.7631262762306777;-0.37081668073782487;0.5164989233016968;0.1084403321146965;0.13606031239032745;0.4277875927440636;-0.5773843238273264;0.6469165528534848;0.2931745777239865;0.17670477618690075;0.23393750254368173;0.5341694009203869;0.1318340823690647;
15;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4229016209077585;0.7757343649864197;-0.3519591987133026;0.10250551253557205;0.10515671991609947;2.8943577066900694;3.363215726196616;0.30537118899563637;-0.0671246449164378;-0.2979024087070308;0.7690219004947759;-0.3817494395840057;0.5241454839706421;0.136761873960495;0.14970296621322632;0.44787834236574703;-0.5285439142176891;0.787314666868986;0.2946288110043636;0.2087329202379763;0.2079343749426045;0.5450187759944397;0.15755531145475543;
16;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3439949673216383;0.7838531732559204;-0.36210355162620544;0.12034953385591507;0.11710355941091062;2.848319169879858;3.3296742729710913;0.3038650717070858;-0.056815077803713;-0.2985063294767976;0.7781716654755491;-0.3919541845738852;0.5305820107460022;0.1558028608560562;0.16236205399036407;0.46132441501315236;-0.4956757974417803;0.8841003820393535;0.29613492829291416;0.22901445292123765;0.18774524257151132;0.553483456038126;0.17457738511320733;
17;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.296155865368339;0.7888972759246826;-0.367193341255188;0.1342180371284485;0.12347986600622728;2.821126458631653;3.3094058885354185;0.3029517048639421;-0.05060102471897941;-0.2986959520605499;0.7838371734527847;-0.39706293646124297;0.5353381037712097;0.1673789918422699;0.16798941791057587;0.46934523809644596;-0.47502940673668564;0.9436767506353978;0.2970482951360579;0.2405262843318629;0.1743123523699523;0.5593907322043961;0.18481022707926512;
18;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.2696745472097;0.7901915907859802;-0.3675392270088196;0.138125941157341;0.12422090748234982;2.8121144686536383;3.301210525223133;0.30244605022672505;-0.048071061773162685;-0.2986013836500887;0.785384484608664;-0.3973993653738285;0.5412824749946594;0.17386630177497864;0.17882035672664642;0.47246761478936544;-0.457560078556062;0.9764341677771022;0.29755394977327493;0.24652518683024788;0.1666243838217804;0.5659349936776842;0.19052874015715668;
19;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.266515240053497;0.7886264324188232;-0.3644874393939972;0.14297066628932953;0.1208278736898076;2.816199354663723;3.301576728665517;0.30238572155943394;-0.04817079689540732;-0.2985242015808449;0.7838093527292825;-0.3943398595520817;0.5452529191970825;0.17351704835891724;0.18311293423175812;0.4704126458206304;-0.45031588538977374;0.973608929957643;0.29761427844056604;0.2461033370776941;0.16735413413155245;0.569863252904852;0.19025246177207247;
20;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.300544845635134;0.7830386161804199;-0.36107495427131653;0.15256653726100922;0.11588440630858046;2.8524821497167956;3.332533879638566;0.3030355076183177;-0.057511017788441234;-0.2975281528031072;0.7772875144015758;-0.39082776955162724;0.5491719245910645;0.16781042516231537;0.1830345243215561;0.46357034767850697;-0.4480626959183388;0.9425606324198945;0.29696449238168227;0.24026377943383107;0.17453144710246804;0.5731983025344476;0.18526356987256218;
21;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3556297750317152;0.7762532234191895;-0.3599918782711029;0.1584724634885788;0.11308158570476007;2.907293042104615;3.3843728797539114;0.3040871838434333;-0.0731032412218301;-0.2951693268290134;0.7689428992970064;-0.38950881095400425;0.5519489049911499;0.16174407303333282;0.17837387323379517;0.4568997897923385;-0.44833673292710036;0.9102045699189764;0.29591281615656667;0.2336614231026086;0.18156743683649268;0.5753150473014108;0.1799008167169821;
22;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3403255713659656;0.7793635725975037;-0.3656792640686035;0.1652746945619583;0.1193478593488068;2.8930068201770682;3.376778387702892;0.3037950195874541;-0.07079141234165404;-0.29543187008989996;0.7722844313633382;-0.3952224510775935;0.5545322299003601;0.15743465721607208;0.18000513315200806;0.4518967238744975;-0.44731875118889836;0.8874443951090093;0.2962049804125459;0.22969531649352326;0.18702259757081996;0.5775017615497124;0.1761369169731541;
