i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.695579049655175;5.607111173380247;0.34800997376441956;0.2181696891784668;0.04474211111664772;0.26589280048794334;-0.6084806202762942;0.0985100050762262;0.09706202673980277;0.00954612363311006;0.0965914517875136;0.35755609739752964;0.3147611409659804;-0.24093003571033478;0.2914011478424072;0.011995727196335793;0.7961733145374759;-1.196086877800706;1.3515635816574871;0.04174231463839122;0.04074319563258073;0.009078151850222854;-0.20018684007775406;0.3004792996926301;-0.5195717811584473;-0.31691569089889526;0.04474211111664772;1.0676901105061023;-1.872161011600045;0.9307049490283514;0.003011530828667751;0.002415371751929027;0.0017986932011878989;-0.5171564094065182;-0.31511699769770735;
1;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.544184079975513;5.537565827507759;0.3619188070297241;0.33573684096336365;0.13214010000228882;0.36302292246103895;-0.39019086648784307;0.5800957217315722;0.0969338724402869;0.05312984340751222;0.08107647849877941;0.4150486504372363;0.41681331946214306;-0.20338307321071625;0.3325185775756836;0.08488454669713974;0.7780207915681352;-1.1291920936919164;1.3887921071553448;0.049368086470186236;0.0485526689697462;0.008935675555996288;-0.15483040424097005;0.3414542531316799;-0.4416399598121643;-0.2954312562942505;0.13214010000228882;0.986896874607805;-1.874811573363744;0.8770294575327149;0.003071984590654858;0.002361873223809415;0.0019643431980875996;-0.4392780865883549;-0.2934669130961629;
2;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.43101655757765;5.449041567717322;0.42885348200798035;0.4299197494983673;0.2045198231935501;0.43576693085998125;-0.16400155388323234;1.096035087443596;0.09683055406029972;0.08612127785862901;0.04426377412310707;0.5149747598666093;0.47418352362147437;-0.10673060268163681;0.3758625090122223;0.15727688372135162;0.7137188871757458;-1.0161703034851681;1.3731719654886079;0.05171958689629957;0.050712905394193944;0.010154648945355848;-0.056017697287442866;0.3860171579575781;-0.44589319825172424;-0.2715018391609192;0.2045198231935501;0.9840869835368403;-1.8503140429474316;0.8994886254522219;0.0031525274804373588;0.0024684571746228334;0.001960905069595614;-0.4434247410771014;-0.26954093409132357;
3;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.290688438882641;5.379187213821992;0.5261107087135315;0.4823353588581085;0.22793634235858917;0.4830415794880428;0.054081143605964735;1.540287705651827;0.09669238334554028;0.09664738736263856;0.0029494936882468966;0.62275809607617;0.4852848525463554;-0.027697917073965073;0.3866797387599945;0.21873712539672852;0.6542066279484632;-0.9384157246909811;1.2892075867097168;0.058260441741981465;0.05596586404929028;0.016189537769410654;0.028267946975325205;0.4028692765294052;-0.45984765887260437;-0.26731786131858826;0.22793634235858917;0.9963766191672522;-1.8424138180485756;0.916157871212653;0.0032191176130156943;0.002553623358874775;0.0019600321291848694;-0.4572940355137296;-0.26535782918940337;
4;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.221588041708385;5.280826433012072;0.6208958029747009;0.4911309480667114;0.23149362206459045;0.5057918577100708;0.24135938994614745;1.8411069138860956;0.09661983854496145;0.0931113795997466;-0.025800468784235538;0.7140071825744475;0.4653304792824759;0.03930560126900673;0.4296620786190033;0.25087109208106995;0.6299593882349195;-0.8202378755250535;1.3267909107595792;0.05559840050249951;0.05395146956076661;0.013432091075853095;0.09325707082977333;0.4430941696948564;-0.48790743947029114;-0.2541496753692627;0.23149362206459045;1.0200750788304989;-1.822596749692568;0.9518704395303486;0.0033177798581093404;0.002702338609728618;0.001924845247090278;-0.4852051008605625;-0.2522248301221724;
5;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;5.060697175056772;5.246309120714548;0.7336400747299194;0.45521774888038635;0.23072613775730133;0.5116745874240081;0.4741905783092453;2.1032936774636157;0.09643798809567652;0.08308536626560523;-0.048960264097041746;0.8167254409955247;0.4062574847833446;0.10954701900482178;0.4205557107925415;0.23552542924880981;0.573864649763549;-0.7482975538135693;1.1762833009648221;0.06617257095077071;0.061089448587266594;0.025434001209768294;0.17063646759208836;0.4459897120023098;-0.5127871632575989;-0.22050708532333374;0.23072613775730133;1.0365139713178815;-1.7851737402786083;0.9995987098944012;0.0033538467280483097;0.002821437307696013;0.0018132234815326608;-0.5099657259499029;-0.2186938618418011;
6;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.983614252286835;5.113143489830739;0.8299473524093628;0.39426395297050476;0.22678689658641815;0.5141102216197191;0.6968213820277385;2.3380521101860277;0.09634377839637909;0.06935001573513817;-0.06687823975873385;0.899297368144501;0.3273857132117709;0.1852702647447586;0.4573356509208679;0.22374893724918365;0.5551672755639045;-0.6027496728650124;1.237190272244781;0.061797508191548584;0.05839046808587584;0.020235742027334434;0.24366073283063444;0.47757139294820233;-0.524143636226654;-0.20973235368728638;0.22678689658641815;1.045398415823729;-1.7727914902138604;1.0173231063878112;0.0035006293032753474;0.002977999265580589;0.0018400885557905951;-0.5211656369610734;-0.20789226513149578;
7;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.8139200670328375;4.988061608235831;0.9256685972213745;0.2766641080379486;0.22265036404132843;0.5076778341988613;0.9944549297328477;2.6036215857753335;0.09611782617772613;0.049250264887832636;-0.08254118921853437;0.9749188621092072;0.19412291881941424;0.26262566447257996;0.46178877353668213;0.2404375672340393;0.5192258145851353;-0.4748103104139007;1.191820617149103;0.06532426389538548;0.06068912056125384;0.024167956036362685;0.3233147850338338;0.4859567295730448;-0.5101532340049744;-0.20386148989200592;0.22265036404132843;1.0305188320606746;-1.7699340093576565;1.0111449449218313;0.0036506514394822887;0.003093708934446609;0.0019380972528537698;-0.5070595250705278;-0.20192339263915215;
8;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.713790252240329;4.797074279542998;1.0206280946731567;0.1552225947380066;0.22231999039649963;0.5432749459345616;1.2810423557666808;3.0649284611817054;0.09597097636980137;0.007350332319269511;-0.09568908464485003;1.0279784269924261;0.059533510093156564;0.34593918919563293;0.5193883776664734;0.2024766057729721;0.5417554986160363;-0.2883526991725757;1.488264662922155;0.057793481467901975;0.05759676372470791;0.004764379143277721;0.40353595292034083;0.5241527568097512;-0.5070487260818481;-0.2079867720603943;0.22231999039649963;1.0283023067440702;-1.774463726809164;1.00523108659879;0.003906129937725794;0.003297890144752788;0.0020932681824219635;-0.5037508359370954;-0.2058935038779723;
9;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.66101977136574;4.661014931051846;1.0262681245803833;0.04891423135995865;0.21372957527637482;0.5285364140519453;1.4781171385003566;3.190638944550293;0.09588904755687672;-0.004701116810937531;-0.09577373826939661;1.0215670077694459;-0.046859506909437965;0.4239020347595215;0.5246215462684631;0.22019536793231964;0.5301119382949739;-0.14404839731348967;1.5761852076224894;0.04999953778407066;0.0499988117916246;-0.00026944024645622416;0.47390084655114606;0.5243521060220069;-0.5227729082107544;-0.20245663821697235;0.21372957527637482;1.042618392379495;-1.7662187734412298;1.0222407690858928;0.004110960109928098;0.003507794385820514;0.002143681779608654;-0.5192651138249339;-0.2003129564373637;
10;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.527326228416298;4.572806540212804;0.9969497323036194;-0.06957574188709259;0.20029284060001373;0.5017965925509841;1.709897753608713;3.2896768015476336;0.0956658547123994;-0.014114876975640676;-0.0946188459336534;0.9828348553279788;-0.16419458782074597;0.47556227445602417;0.531327486038208;0.2202385812997818;0.5318891800454723;-0.045961325154575815;1.682949948283711;0.054316396682828325;0.05397514697935694;-0.006079017779475487;0.5295374214353811;0.5252484682587325;-0.545655369758606;-0.1962723433971405;0.20029284060001373;1.0639163430869985;-1.756340092121358;1.0444300893653546;0.004255564150958416;0.0036795240009550867;0.002137973191908143;-0.5419758457576509;-0.19413437020523236;
11;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.4879687970240685;4.366942693255708;0.9609681963920593;-0.19124333560466766;0.21661020815372467;0.49906481693077476;1.9640582850843662;3.530178730611048;0.09559548756121297;-0.03621924560572672;-0.08846843216547962;0.9247489507863326;-0.2797117677701473;0.5884606242179871;0.5189380645751953;0.1540486365556717;0.5264237807148205;0.1688417749288488;1.8709962277088472;0.03891396577032948;0.03717363186104852;-0.01150729447931236;0.6256342560790356;0.507430770095883;-0.555618405342102;-0.1883896291255951;0.21661020815372467;1.072297006458137;-1.7474008389950297;1.05799022213359;0.004635856675237721;0.004039551979782713;0.0022744640942383982;-0.5515788533623194;-0.1861151650313567;
12;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.474544380772931;4.166035776535628;0.9104989171028137;-0.28917938470840454;0.20774966478347778;0.5021295425315206;2.184508201093186;3.7659518381825614;0.09557096394041578;-0.055868632800893325;-0.07754034445022281;0.8546302843019205;-0.3667197291586274;0.6818351745605469;0.4607754945755005;0.07536372542381287;0.4953565252510172;0.37586727468653147;1.9234503981353563;0.02623052413550035;0.02461628010992441;-0.009059754410181666;0.7064514546704713;0.45171574016531885;-0.5648599863052368;-0.1833232194185257;0.20774966478347778;1.0805249618643533;-1.7412822559574272;1.0685296429169533;0.005078177815389648;0.00445099036620854;0.002444703393999841;-0.5604089959390283;-0.18087851602452584;
13;0.2;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;3;4.27328399202959;4.170373809575423;0.8387719392776489;-0.38660725951194763;0.21652205288410187;0.5140346291343391;2.4220444056094137;4.06289903335399;0.0951678588768042;-0.07579095687921328;-0.05755564454098794;0.7629809823984357;-0.44416290405293557;0.7060441970825195;0.47130125761032104;0.2786977291107178;0.5143725173222714;0.4121430904594175;2.0546786807545194;0.040468302750037766;0.035822357560228425;-0.01882663608550024;0.741866554642748;0.4524746215248208;-0.607516348361969;-0.14464962482452393;0.21652205288410187;1.1169225469346145;-1.700668407144745;1.127425315740311;0.005067744878476173;0.004577748065293281;0.0021739965050627617;-0.6029386002966757;-0.14247562831946117;
