i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1092817687879135;0.3283224403858185;0.004924994893372059;0.03470326587557793;0.328359376957015;1.5557969696413383;3.2674511442479797;0.6569380617812539;-0.08246312231967717;-0.6517418587709405;0.3200761281538508;-0.06024919098372199;3.2885632514953613;2;-0.19196298718452454;-0.009088597260415554;0.008764931000769138;0.1921780191618385;-1.6181065687503375;-0.5417541069810303;0.743061938218746;-0.38315224433931605;0.6366595649852003;-0.23027821161845613;0.05457735923810447;3.373020648956299;2;
1;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1213429488376176;0.32639551162719727;0.0012912882957607508;0.037747256457805634;0.32639806591927384;1.566840140165713;3.2688682226663692;0.67296136784435;-0.08542048239336618;-0.6675180475452503;0.31785346338786064;-0.06546051645876429;3.1829912662506104;2;-0.18874557316303253;-0.004569647368043661;0.004177463706582785;0.18880088205755272;-1.5950022181762609;-0.5316405854744136;0.7270386321556499;-0.3685709033565939;0.6266902439368772;-0.22560266349869193;0.058099377025644064;3.2991204261779785;2;
2;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.168460000140105;0.32615840435028076;0.00041340713505633175;0.04217851907014847;0.3261586663478077;1.5695288233114548;3.2703802221329323;0.7358415134535102;-0.09450548452672965;-0.7297475223088603;0.3167078558976078;-0.0725613450958297;3.2041056156158447;2;-0.19237317144870758;0.004925799090415239;0.0031252566259354353;0.19243622473409985;-1.5451964837280316;-0.46784318165264516;0.6641584865464897;-0.2995104271313489;0.5927900128134082;-0.22232421416184248;0.06420480037175605;3.267448902130127;2;
3;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.238982540763824;0.32449525594711304;-0.0002461618569213897;0.052651502192020416;0.3244953493161993;1.571554925896702;3.2642210464278185;0.8266748089503831;-0.10111992232850253;-0.8204669408705204;0.3143832637142628;-0.08229285594397343;3.230498790740967;2;-0.2005312740802765;0.01974528469145298;-0.001411459525115788;0.20150103759486077;-1.4726478405190593;-0.35947696596120937;0.5733251910496168;-0.20168701842038553;0.5366787878170467;-0.22069997592231505;0.07341316347315766;3.2357773780822754;2;
4;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2235973765779695;0.3237515389919281;-0.006045304238796234;0.06291394680738449;0.32380797504536785;1.5894668227014042;3.2787454730410945;0.8074974835008877;-0.11040366345985207;-0.7999145060285568;0.3127111726459429;-0.08603675484165192;3.241055965423584;2;-0.22159205377101898;0.022384505718946457;0.010158933699131012;0.22271978895181208;-1.4701211079002128;-0.26805324198141145;0.5925025164991122;-0.15692707845788958;0.571343262937835;-0.23728476161680795;0.07951883201272995;3.2357773780822754;2;
5;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2288965602482445;0.32491904497146606;-0.016754847019910812;0.07877427339553833;0.3253507502432263;1.622316913627405;3.3191946310455283;0.8141526261088657;-0.1438361666242148;-0.8013461522780362;0.31053542830904457;-0.09688946224771443;3.2568917274475098;2;-0.2410069853067398;0.03367427736520767;0.0052551268599927425;0.2433481537277652;-1.431971833303938;-0.13720392927702518;0.5858473738911342;-0.08012860600721726;0.5803417544813387;-0.24901984590746154;0.09170845281334154;3.267448902130127;2;
6;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.204267257244488;0.31917622685432434;-0.02129746973514557;0.08893691003322601;0.31988598907436155;1.6374239255232594;3.3073244624885763;0.782822797554092;-0.12914553085183936;-0.7720964733965643;0.30626167376914043;-0.098507117074802;3.2621703147888184;2;-0.260422021150589;0.03386206552386284;0.009157625958323479;0.2626142962249013;-1.441494124411838;-0.055493618184252747;0.6171772024459079;-0.03423181999077328;0.6162271348448366;-0.2638452031496663;0.0954847790083465;3.346627712249756;2;
7;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1090095001493405;0.3142680823802948;-0.0389799103140831;0.10101024061441422;0.31667627162621725;1.6942000167464537;3.3481852688324505;0.6565774820378091;-0.13468122323143172;-0.6426157156715006;0.30079996005715165;-0.10324148188123315;3.241055965423584;2;-0.2835407555103302;0.025822360068559647;0.01301478035748005;0.28471416247682374;-1.4799757902837933;0.014539647822034346;0.7434225179621908;0.010808720755038394;0.7433439390812866;-0.28245988343482636;0.1001567539766883;3.346627712249756;2;
8;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.029277379637535;0.3231271803379059;-0.05523446947336197;0.09626606106758118;0.3278140041107599;1.7400972605211056;3.4490773103237085;0.5551697758773844;-0.16802892133650485;-0.5291311384167784;0.3063242882042554;-0.1081475833150398;3.1671555042266846;2;-0.2655227482318878;0.01514738891273737;0.028335144743323326;0.26595445704008835;-1.5138106670209452;-0.11162580773277869;0.8448302241226155;-0.09410913334715236;0.839572259315252;-0.27493366156660304;0.09910461484426257;3.3413491249084473;2;
9;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;2.9587007799709233;0.32450544834136963;-0.06948576122522354;0.09723471105098724;0.33186150276324927;1.7817390375172522;3.510515352612678;0.4763694215649745;-0.17178397019034722;-0.44431755917112964;0.3073270513223349;-0.1139175171423365;3.172434091567993;2;-0.25397494435310364;0.007126078940927982;0.03859485685825348;0.25407489714695236;-1.5427454896914108;-0.19766185105564985;0.9236305784350254;-0.18138003133922673;0.9056460288940711;-0.2721129474870263;0.0976906818303351;3.2885632514953613;2;
10;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;2.9493666407241617;0.32657742500305176;-0.07865942269563675;0.10563194751739502;0.3359168339045168;1.8071542645578662;3.555640720009168;0.46689140859211853;-0.18783910620516361;-0.42743895189509556;0.3077935143825354;-0.1214033178851463;3.230498790740967;2;-0.23991240561008453;0.010594675317406654;0.04378315433859825;0.24014622526847884;-1.5266644018975584;-0.24665397656679666;0.9331085914078814;-0.2278283317887397;0.9048678879226295;-0.2626952387889585;0.1010814641096696;3.29384183883667;2;
11;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.0083746543091983;0.32764026522636414;-0.08787865936756134;0.11985006928443909;0.33922087519762417;1.8328454813001622;3.5972887848882524;0.5305664202770185;-0.23349565738369202;-0.47642471001043524;0.3042906994879949;-0.13552113036860486;3.251613140106201;2;-0.22978749871253967;0.02976866625249386;0.04483554884791374;0.23170772118127136;-1.441965171570225;-0.2002167300628258;0.8694335797229814;-0.17291445968803973;0.8520653373895168;-0.24707894468134364;0.11497519999144554;3.278006076812744;2;
12;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.0953120425667753;0.32487502694129944;-0.0927199274301529;0.13181708753108978;0.3378472555353423;1.848807088438398;3.6066281460724707;0.6385204185891565;-0.2863473710911954;-0.5707131573955808;0.29624028983217987;-0.14979124316971099;3.2463345527648926;2;-0.23225639760494232;0.05480533465743065;0.04527754709124565;0.2386349910120853;-1.3390661761744103;-0.06597633171087475;0.7614795814108434;-0.05020318957025881;0.7598228692679668;-0.2372767165619682;0.13078762158422733;3.2991204261779785;2;
13;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1452160576831685;0.32087498903274536;-0.09902065992355347;0.14169807732105255;0.3358062680750026;1.8701203611920754;3.618071208006184;0.7048439436639234;-0.32327865853198257;-0.6263352886892721;0.2885471231795471;-0.16165418879248067;3.2463345527648926;2;-0.24020108580589294;0.07507933676242828;0.04713734984397888;0.2516614162540934;-1.2678488883043624;0.06580235644330482;0.6951560563360765;0.04570990299815101;0.6936516037814847;-0.23563009550607783;0.14444449714057675;3.267448902130127;2;
14;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.171872304238775;0.31502631306648254;-0.10598950833082199;0.15097518265247345;0.3323783293183701;1.8953461320376908;3.626641603987061;0.7403701134348899;-0.34519879742435017;-0.6549699955909234;0.2805064333240475;-0.17148650788991432;3.2199416160583496;2;-0.25192227959632874;0.09334001690149307;0.058536551892757416;0.2686581353917685;-1.2159668709031213;0.19938436905553114;0.65962988656511;0.1306502094925535;0.6465617603983798;-0.23885725864707338;0.15799619294133105;3.2621703147888184;2;
15;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.161332250676151;0.3078863024711609;-0.11603965610265732;0.15711455047130585;0.32902762351782283;1.9312240551145217;3.6461520744287177;0.7263591135302588;-0.35113783718740266;-0.6358457211492553;0.27277251875242065;-0.17962422821758284;3.2199416160583496;2;-0.26327818632125854;0.10520774126052856;0.07479699701070786;0.28352084969848984;-1.1906290013889222;0.29795728124626136;0.6736408864697411;0.19775948030870683;0.6439590296531051;-0.24350223829038786;0.16960364422583907;3.267448902130127;2;
16;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;3.131806331361183;0.2998093366622925;-0.12522374093532562;0.16159456968307495;0.3249101778087621;1.9664487989570674;3.6611578943265615;0.6869204080347474;-0.34105790491499094;-0.5962710394356084;0.2657035461707934;-0.18485084487888648;3.2199416160583496;2;-0.27282971143722534;0.11083181947469711;0.0926905944943428;0.2944821618553346;-1.1849301768613394;0.35828395597624835;0.7130795919652525;0.25005396276307307;0.6677990118170396;-0.24782431516091805;0.17761172065640107;3.2568917274475098;2;
