i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7516413688702885;1.8764957648721075;-0.524516761302948;0.197082057595253;0.10667748749256134;0.5334254950737373;-1.3877789223503771;0.34861440274077604;0.31591403311332694;0.10791493418473012;0.29691083391791817;-0.502933774466002;0.25646422437883665;0.11725524067878723;0.4079028367996216;0.07805074751377106;0.32947374459263784;0.36386244651991156;1.228639099296848;0.43163023134777;0.40660994975982173;0.14482059718715673;0.19857723063075158;0.4368669562370529;0.26084578037261963;-0.10647021234035492;0.05921239033341408;0.3326717146408335;2.240358211392019;3.114467118132302;0.45463362402914465;0.012330668218953919;-0.4544663757849944;0.2633119140164104;-0.1973634874973538;
1;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7445025734719966;1.8715791752736777;-0.523844838142395;0.19748537242412567;0.11393478512763977;0.5328384485799637;-1.3868051423441459;0.3467313526385072;0.3142908427202207;0.10680404372062204;0.29558692471540404;-0.5024840293982706;0.2566027573672065;0.11746213585138321;0.41425782442092896;0.07933534681797028;0.3354926728984468;0.3576974311278507;1.2401612298107776;0.4321872724508984;0.408778434020137;0.14030691482814214;0.1992178226554106;0.4423192073865574;0.25864091515541077;-0.10010340809822083;0.06340128183364868;0.32701146298708167;2.2292766064015286;3.086967582263397;0.4558276427808686;0.024887236358587212;-0.45514774017849957;0.2636183624271282;-0.19113295613392073;
2;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7374567415159607;1.8765977218089032;-0.5217604637145996;0.20012830197811127;0.1219802051782608;0.5312811481246947;-1.3811966572571979;0.34474843682766865;0.31269585760485796;0.1056786690913923;0.2942969898967871;-0.5006247298963211;0.2589876999574687;0.12105751037597656;0.42530182003974915;0.079210564494133;0.34709680917519686;0.3562600842587628;1.274329636478586;0.43520592284533915;0.4162199286875366;0.127142307053967;0.2043014961134839;0.45073028145054256;0.2618703842163086;-0.10410528630018234;0.07013936340808868;0.33201666528244705;2.232857806067666;3.105043164749828;0.45460883723766293;0.016612021476610048;-0.4543052229911522;0.2651927885116306;-0.19496633089841278;
3;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7366013383978123;1.8787808343019212;-0.5186374187469482;0.20763327181339264;0.13560348749160767;0.5296882982714957;-1.366170149081029;0.35199156410935806;0.3125026993356018;0.10774091413710028;0.29334251739722206;-0.4970892359195282;0.26630177529283705;0.1241770088672638;0.4197477400302887;0.07997739315032959;0.34301391631491807;0.37043118931678326;1.2757431257520069;0.43596466206845885;0.4171251786984709;0.12677449218290832;0.20760204460695797;0.44510263846687037;0.27053508162498474;-0.11806328594684601;0.07993819564580917;0.34747780802199885;2.2492120236187043;3.168484961387528;0.4540778483676848;-0.012209729466561391;-0.4539136645713362;0.2680931357316725;-0.20884601886111326;
4;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7182486581341399;1.896305338107027;-0.5146547555923462;0.21900229156017303;0.1531788855791092;0.5282339092205176;-1.3435624996450333;0.367476647607916;0.3083839484678804;0.11079053934848108;0.28779526761834184;-0.49249664772264995;0.2765613450838414;0.13009998202323914;0.43082085251808167;0.10176046937704086;0.35548339171223947;0.3746861584891065;1.319760354971621;0.4448715003995056;0.43092726938127607;0.11050945828889251;0.21628543589949434;0.45292274417586015;0.28354841470718384;-0.13892415165901184;0.09240220487117767;0.37078896117459537;2.270991496596133;3.268190753412356;0.4497984667988421;-0.0567916463664726;-0.4461988005783684;0.27219008543388934;-0.22816391177468553;
5;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7055769836231378;1.908126814155218;-0.5103115439414978;0.23083174228668213;0.1736847311258316;0.5268157331266067;-1.319825581467148;0.38425451939104704;0.3055689632634137;0.11454806345952682;0.2832863082952469;-0.4874019312495924;0.2874890039457315;0.1398075670003891;0.4442712962627411;0.12953954935073853;0.37157621186103446;0.38575140215598963;1.3857327625159301;0.4508903948974613;0.44319124130652277;0.08296789644176901;0.22844581526169366;0.4608648755510949;0.2958700954914093;-0.16111581027507782;0.10913731902837753;0.394614469807819;2.2938782163112075;3.3797175982499064;0.44689539995732436;-0.10541408788602957;-0.43428489333405706;0.2747872779142034;-0.24797278894188923;
6;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.71044693264183;1.9049806407503205;-0.505817174911499;0.2454010546207428;0.1940690279006958;0.5263007515862714;-1.290885551725831;0.4106642605898153;0.30664799398913833;0.12241953600246165;0.28115200412322267;-0.4813332677110067;0.30163145544538733;0.15661975741386414;0.4511287212371826;0.15573057532310486;0.38447513221278273;0.4195613809159988;1.466553404196811;0.4489265283356846;0.4464895867364278;0.046712704690095856;0.2459176747611497;0.4604712621752018;0.3043036460876465;-0.18562471866607666;0.13044604659080505;0.41735139742824756;2.3245420216663195;3.503467966762559;0.44766926068704593;-0.15848777196421832;-0.41867576130211337;0.2726060916948028;-0.2693598709264993;
7;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7088023659779068;1.9046657905099758;-0.5014058351516724;0.2594310939311981;0.21270032227039337;0.5261426472319504;-1.2629375681648798;0.437835081407684;0.3062832136730887;0.1298578818132714;0.2773920285604569;-0.47543425878901807;0.3149094996432895;0.17242687940597534;0.46075204014778137;0.17897656559944153;0.3998412975324951;0.445864797813027;1.5523789072501406;0.44925270949041596;0.44917651808300557;0.00827360787730928;0.2622621830225764;0.46240676172324324;0.30350539088249207;-0.20008666813373566;0.15369921922683716;0.4268108839829897;2.3505305883230028;3.57051789890552;0.44774665527384794;-0.18621498924020816;-0.4071867447390536;0.26626239303445043;-0.2815240170815464;
8;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7205823560585571;1.895130897438216;-0.49728506803512573;0.2723166048526764;0.22839032113552094;0.5262940729275345;-1.2372297860755648;0.46428720046619154;0.3089049603252472;0.13832318434863924;0.2762045821220114;-0.46962043116539787;0.32755752127707866;0.1906958669424057;0.46331357955932617;0.19550137221813202;0.41031898659594895;0.4833525699829924;1.6326221095699367;0.4440050912810631;0.4431567729355022;-0.02743347744812663;0.2793272215295062;0.45782688406970085;0.2970905900001526;-0.21063849329948425;0.1797046959400177;0.42983612247694175;2.3784834674212085;3.611875194714142;0.4500861789025542;-0.2039512283528247;-0.40122495547071346;0.25630034432958765;-0.29088348439362693;
9;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.4;0.4;1;1.7053563607875413;1.9094046224401153;-0.4932642877101898;0.2848351299762726;0.24073220789432526;0.5267577078729712;-1.2122726943488809;0.4915223928773434;0.3055201637881799;0.14419592383179147;0.2693512688506451;-0.46442510294383155;0.3387053837464016;0.20232872664928436;0.4765266478061676;0.2157113403081894;0.42744500246893824;0.49308366643866036;1.71586997735356;0.45125682255234445;0.446516487517987;-0.06523608107970194;0.29163202415288175;0.4634794315902272;0.28917789459228516;-0.21727287769317627;0.20014740526676178;0.42928537552604323;2.4024882888787755;3.633430166971417;0.44658084771227263;-0.21089619369779725;-0.3936460961665862;0.2469986558527257;-0.2960020969264935;
