i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.001;0.101;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.9311792817666293;3.9493917035770147;0.24938428401947021;0.2536933422088623;0.15774638950824738;0.2915647600495944;1.0196043941812107;2.548249502688933;0.28890389719699816;0.16153653152787367;-0.23952329907037842;0.2655379371722576;0.22974101230182448;-0.23298518359661102;0.15786212682724;0.15356044471263885;0.240795281536115;-1.3324016312317464;-0.04941003778882702;0.5057965530795827;-0.02498125923138699;0.5051792650083744;-0.23548330951974972;0.20838005332807744;0.25576090812683105;-0.33923768997192383;0.1592991054058075;0.5086377335407032;2.6169900723452684;4.994319290689212;0.7074640719578456;-0.6795335290550698;0.19682376889272848;0.18780755522132409;-0.319555313082651;
1;0.3;0.05;0.002;0.10200000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.933154355154024;3.9351048131988238;0.25036197900772095;0.25374484062194824;0.17415183782577515;0.2910501147088111;1.0223405180147602;2.54841725292422;0.2892946892843353;0.16171480068514818;-0.23987442649745494;0.26653345907623577;0.22975739797220274;-0.22906555235385895;0.1593068242073059;0.17151311039924622;0.23806587656638445;-1.3276904340108018;-0.05719924490818051;0.500620849290951;-0.02861952260135884;0.49980211851378076;-0.23192750461399483;0.20928703605868398;0.26350289583206177;-0.3400687575340271;0.17975673079490662;0.5136229657211918;2.607414379188022;4.996532677210942;0.710318653867422;-0.6818363368360407;0.1991275967866729;0.19531926214845768;-0.3201559978553598;
2;0.3;0.05;0.003;0.10300000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.9337768737042564;3.9220926623835353;0.2512803077697754;0.2522362768650055;0.19078429043293;0.2896801297272268;1.029583236739684;2.548825933458332;0.2894180173143236;0.16168565334900523;-0.24004278420160735;0.2674488731046759;0.22823199844484476;-0.22518053650856018;0.16150015592575073;0.18962110579013824;0.23556023748644744;-1.3198251967356456;-0.060725108327709554;0.4962809692598696;-0.03011819731603237;0.49536622274833003;-0.22819235624016343;0.21103677820058375;0.26769763231277466;-0.33925899863243103;0.1992698609828949;0.5154200795694222;2.60226746564789;4.995564166472244;0.7128843761639223;-0.6844924118046896;0.1991840153235794;0.1992483911323057;-0.31934059710007306;
3;0.3;0.05;0.004;0.10400000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.945378835955894;3.900427847108783;0.25237134099006653;0.24930119514465332;0.20433568954467773;0.2877512125702836;1.0414673764768494;2.5510961659177345;0.2917301551224595;0.1624276213107163;-0.24232983977033618;0.26861410312113815;0.22506821116761971;-0.2199980765581131;0.16706950962543488;0.2040729522705078;0.23270775953140693;-1.2963390947468427;-0.05010575795595995;0.4857012812951722;-0.024326248996610744;0.48509171118617034;-0.22243070145777416;0.2155786807440519;0.26639261841773987;-0.3362252712249756;0.21847529709339142;0.5124921225006497;2.6040887523619407;4.990558500826487;0.7170847581163285;-0.6895197986584556;0.19690860209944203;0.1974406385518943;-0.3165344110150314;
4;0.3;0.05;0.005;0.10500000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.9449718242537744;3.8855078316172635;0.254944771528244;0.24473640322685242;0.21691103279590607;0.286354066150777;1.0610169348148546;2.563689173860973;0.2916486025099422;0.1593186116718274;-0.24428771422436232;0.2708766326954268;0.22030763180441618;-0.21817314624786377;0.17247357964515686;0.21445713937282562;0.23315003143105453;-1.277196548110957;-0.028975407351162497;0.4810942856229068;-0.013937952384912166;0.4808923425698635;-0.219566941486355;0.22056281390214322;0.26333850622177124;-0.33261460065841675;0.22926709055900574;0.5081784356958899;2.6083112835063065;4.98453951583409;0.7199261339035812;-0.6934292905384203;0.19351862261999536;0.1939955771679292;-0.3132627383964172;
5;0.3;0.05;0.006;0.10600000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.9486106002556842;3.873679147417556;0.25720155239105225;0.24011655151844025;0.2248266041278839;0.2847621275992877;1.0803977956132917;2.575151670885566;0.29237883994309594;0.15689992855427304;-0.2467140013581202;0.27289154524647957;0.21544515138262824;-0.21618899703025818;0.1787983924150467;0.22575248777866364;0.23381094144527798;-1.25417691131061;-0.00298036488192005;0.47619306769892433;-0.0014192269949164767;0.4761909527902113;-0.21633091972974983;0.22641748769406783;0.2556522488594055;-0.3279205858707428;0.23559516668319702;0.5006129445020047;2.619502236106946;4.97722674182207;0.7221493970938029;-0.6969716438944747;0.189024546897953;0.18595508446995804;-0.3090181311809475;
6;0.3;0.05;0.007;0.10700000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.941613311900871;3.868791650458681;0.2606026232242584;0.23248142004013062;0.23424653708934784;0.28294854175540973;1.1113210324102087;2.5970657446055108;0.2909768829052656;0.15072994755796967;-0.24889361039294752;0.2756756179800554;0.20759205900083585;-0.21549540758132935;0.1858413815498352;0.2389363795518875;0.23605120173273544;-1.230250962868506;0.0310746651071635;0.4768609895679556;0.01481591082496425;0.47663077130852194;-0.21401381649883292;0.2335044586806874;0.24426935613155365;-0.32418563961982727;0.2415553629398346;0.4921562792177314;2.638540687590175;4.974736326659336;0.7230604974999485;-0.6983201577055612;0.1875245060970782;0.17443734036099753;-0.30543318901011945;
7;0.3;0.05;0.008;0.10800000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.937835589820324;3.869733456002916;0.2632737457752228;0.22632446885108948;0.2430988848209381;0.2813634041786627;1.1367562797629855;2.614637935691175;0.2902239218272258;0.14595462904422135;-0.25085288728922256;0.27786920867964493;0.2012391801221672;-0.2158227264881134;0.19281089305877686;0.24798130989074707;0.23935225186741008;-1.208593437596277;0.06777742799952735;0.4783558374105091;0.032396910982712544;0.47725752727797555;-0.21258303538984216;0.2405366457865744;0.23267041146755219;-0.3230750560760498;0.24887137115001678;0.48610955324902705;2.661140018406639;4.981374613778015;0.7228852723830196;-0.6968910148139883;0.1921094232457167;0.16298130998615334;-0.30386411375147815;
8;0.3;0.05;0.009000000000000001;0.10900000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.9371914004552964;3.865763483290317;0.2663381099700928;0.22021715342998505;0.25222548842430115;0.28034292939192956;1.1628573890277416;2.635683020214149;0.2900957990182459;0.14058138963335676;-0.2537566659159693;0.28039624893342846;0.19484148683838812;-0.21626625955104828;0.20098115503787994;0.25690269470214844;0.24332164016836388;-1.1831365176965485;0.11150866942989174;0.4773023362015686;0.05311311883314424;0.4743379773445212;-0.21095494766773384;0.24841495277233205;0.22409917414188385;-0.3262813687324524;0.2555154860019684;0.48552808845845125;2.682626965593769;5.001301180892464;0.7236227938211921;-0.6936317892140719;0.20616713785002874;0.15473599522047665;-0.30566465494744954;
9;0.3;0.05;0.010000000000000002;0.11000000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;3.97867263562542;3.859254209556053;0.2632324695587158;0.2223404198884964;0.250693678855896;0.27703258577201634;1.1532559372828268;2.6097160425328605;0.2985105239810265;0.1513900908635933;-0.25727334357787623;0.27837147864507517;0.19661308553070878;-0.21555174887180328;0.21060068905353546;0.2641429305076599;0.2469698160852357;-1.1512567342713396;0.16035285062723165;0.46216709752293533;0.07379262157377035;0.4562379587825247;-0.20817248671442626;0.25622448493178795;0.2142132967710495;-0.33108487725257874;0.260318785905838;0.4860647482784811;2.7079974752847136;5.02811199584807;0.724825820924633;-0.6889992232569112;0.2250611939683097;0.14531337444535838;-0.3085787578557478;
