i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
0;0.25362542271614075;-0.06569456309080124;0.08370887956623625;2.4487593803262713;4.017926596519013;-0.0768397872324258;-0.06399724289432737;0.2;0.0;0.1;0.1;0.1
1;0.25362542271614075;-0.06569456309080124;0.08480248570163523;2.4570009943577573;4.026277570892844;-0.07737154101532853;-0.06335333172701604;0.2;0.0;0.1;0.1;0.1
2;0.253695011138916;-0.06581158936023712;0.08493715038385023;2.4572375666458606;4.02652760961834;-0.07738737938287465;-0.06333398386530749;0.2;0.0;0.1;0.1;0.1
3;0.253695011138916;-0.06581158936023712;0.08493715038385023;2.4572375666458606;4.02652760961834;-0.07738737938287465;-0.06333398386530749;0.2;0.0;0.1;0.1;0.1
4;0.2539505958557129;-0.06692074239253998;0.0859595983910765;2.4630908519457146;4.032483139502326;-0.07776319219002016;-0.06287198056700606;0.2;0.0;0.1;0.1;0.1
5;0.2539505958557129;-0.06692074239253998;0.0859595983910765;2.4630908519457146;4.032483139502326;-0.07776319219002016;-0.06287198056700606;0.2;0.0;0.1;0.1;0.1
6;0.2539174258708954;-0.0671263337135315;0.0859595983910765;2.4630908519457146;4.032483139502326;-0.07776319219002016;-0.06287198056700606;0.2;0.0;0.1;0.1;0.1
7;0.2539174258708954;-0.0671263337135315;0.0860989749669756;2.464889457748289;4.034295682935286;-0.0778770225849108;-0.06273092820379189;0.2;0.0;0.1;0.1;0.1
8;0.25435274839401245;-0.06821795552968979;0.0860989749669756;2.464889457748289;4.034295682935286;-0.0778770225849108;-0.06273092820379189;0.2;0.0;0.1;0.1;0.1
9;0.25435274839401245;-0.06821795552968979;0.08722333813053451;2.4688357349376617;4.038354396240845;-0.0781309872996518;-0.062414331876434026;0.2;0.0;0.1;0.1;0.1
10;0.25435274839401245;-0.06821795552968979;0.08722333813053451;2.4688357349376617;4.038354396240845;-0.0781309872996518;-0.062414331876434026;0.2;0.0;0.1;0.1;0.1
11;0.2543143332004547;-0.06857428699731827;0.08722333813053451;2.4688357349376617;4.038354396240845;-0.0781309872996518;-0.062414331876434026;0.2;0.0;0.1;0.1;0.1
12;0.2543143332004547;-0.06857428699731827;0.08747845236514298;2.4717174862280396;4.0412616589138635;-0.07831211171315788;-0.062186921125152034;0.2;0.0;0.1;0.1;0.1
13;0.2544211745262146;-0.06974027305841446;0.08747845236514298;2.4717174862280396;4.0412616589138635;-0.07831211171315788;-0.062186921125152034;0.2;0.0;0.1;0.1;0.1
14;0.2544211745262146;-0.06974027305841446;0.08846112096890316;2.4789545601600174;4.048596999563922;-0.07876616300363554;-0.06161080721500668;0.2;0.0;0.1;0.1;0.1
15;0.2544211745262146;-0.06974027305841446;0.08846112096890316;2.4789545601600174;4.048596999563922;-0.07876616300363554;-0.06161080721500668;0.2;0.0;0.1;0.1;0.1
16;0.2544357478618622;-0.06981953233480453;0.08846112096890316;2.4789545601600174;4.048596999563922;-0.07876616300363554;-0.06161080721500668;0.2;0.0;0.1;0.1;0.1
17;0.2544357478618622;-0.06981953233480453;0.08853258010885624;2.4793755464432956;4.049025131751739;-0.07879253335370852;-0.06157707923980099;0.2;0.0;0.1;0.1;0.1
18;0.2544357478618622;-0.06981953233480453;0.08853258010885624;2.4793755464432956;4.049025131751739;-0.07879253335370852;-0.06157707923980099;0.2;0.0;0.1;0.1;0.1
19;0.254705548286438;-0.07109785825014114;0.08853258010885624;2.4793755464432956;4.049025131751739;-0.07879253335370852;-0.06157707923980099;0.2;0.0;0.1;0.1;0.1
20;0.254705548286438;-0.07109785825014114;0.0897084302676006;2.4857654827378735;4.055532652922879;-0.07919157633170834;-0.061063034956503864;0.2;0.0;0.1;0.1;0.1
21;0.254705548286438;-0.07109785825014114;0.0897084302676006;2.4857654827378735;4.055532652922879;-0.07919157633170834;-0.061063034956503864;0.2;0.0;0.1;0.1;0.1
22;0.254705548286438;-0.07109785825014114;0.0897084302676006;2.4857654827378735;4.055532652922879;-0.07919157633170834;-0.061063034956503864;0.2;0.0;0.1;0.1;0.1
23;0.25469648838043213;-0.07146691530942917;0.0897084302676006;2.4857654827378735;4.055532652922879;-0.07919157633170834;-0.061063034956503864;0.2;0.0;0.1;0.1;0.1
24;0.25469648838043213;-0.07146691530942917;0.08999569892498123;2.488346019041447;4.058141916062605;-0.07935063609919213;-0.060856195663659324;0.2;0.0;0.1;0.1;0.1
25;0.25468960404396057;-0.07277247309684753;0.08999569892498123;2.488346019041447;4.058141916062605;-0.07935063609919213;-0.060856195663659324;0.2;0.0;0.1;0.1;0.1
26;0.25468960404396057;-0.07277247309684753;0.09103178363141406;2.4971226591244844;4.067022164522957;-0.07988791840636156;-0.06014915205302998;0.2;0.0;0.1;0.1;0.1
27;0.25468960404396057;-0.07277247309684753;0.09103178363141406;2.4971226591244844;4.067022164522957;-0.07988791840636156;-0.06014915205302998;0.2;0.0;0.1;0.1;0.1
28;0.2549319267272949;-0.07388227432966232;0.09103178363141406;2.4971226591244844;4.067022164522957;-0.07988791840636156;-0.06014915205302998;0.2;0.0;0.1;0.1;0.1
29;0.2542719542980194;-0.07784444093704224;0.09271632322093676;2.508022256847836;4.0780902160936305;-0.08054874557546238;-0.059261282353822144;0.2;0.0;0.1;0.1;0.1
30;0.2542719542980194;-0.07784444093704224;0.09489574283458117;2.5327586429096467;4.103044544032329;-0.08200233927728627;-0.057233000559579576;0.2;0.0;0.1;0.1;0.1
31;0.2542719542980194;-0.07784444093704224;0.09489574283458117;2.5327586429096467;4.103044544032329;-0.08200233927728627;-0.057233000559579576;0.2;0.0;0.1;0.1;0.1
32;0.2542719542980194;-0.07784444093704224;0.09489574283458117;2.5327586429096467;4.103044544032329;-0.08200233927728627;-0.057233000559579576;0.2;0.0;0.1;0.1;0.1
33;0.25422534346580505;-0.07785738259553909;0.09489574283458117;2.5327586429096467;4.103044544032329;-0.08200233927728627;-0.057233000559579576;0.2;0.0;0.1;0.1;0.1
34;0.25422534346580505;-0.07785738259553909;0.09487971278736398;2.5332396421281933;4.103523940246573;-0.08202976713711485;-0.0571936823734118;0.2;0.0;0.1;0.1;0.1
35;0.25377288460731506;-0.07996863126754761;0.09636651444250027;2.5496142912375244;4.1200472694926615;-0.08296355653473896;-0.0558305318540597;0.2;0.0;0.1;0.1;0.1
