i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.28109315037727356;0.04989413172006607;0.011670857667922974;0.22452089700481395;-1.3467004979316326;0.1487595750961916;0.3;0.0444634564656349;0.2966867051944333;0.28998584167040053;0.10923147275895273;
1;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.27729880809783936;0.05901242792606354;0.02750001661479473;0.23038725555978964;-1.3117648110213944;0.1895308917758312;0.3;0.056519462385045606;0.29462781669710925;0.2886027005748485;0.11793799126548539;
2;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.2786332368850708;0.06832395493984222;0.04423324391245842;0.23167090156211412;-1.271426463583537;0.2311468076661068;0.3;0.06872819443863641;0.2920212925271118;0.2923788757727981;0.12672821344526458;
3;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.284333735704422;0.07845329493284225;0.057333264499902725;0.2294926078134754;-1.2219057513242386;0.27849967363635386;0.3;0.08247403237760624;0.2884406940488418;0.30082854217994326;0.13614143374261062;
4;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.2941095232963562;0.08922611176967621;0.06480135768651962;0.22439293085743242;-1.1618602620910239;0.33347257091756743;0.3;0.09819788014393747;0.2834734138067217;0.3137490993251437;0.14592079453102055;
5;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3038717806339264;0.09773006290197372;0.06832537055015564;0.21912882883484416;-1.108512210759463;0.3815885593546411;0.3;0.11171857190220613;0.2784222704672376;0.32621549501436764;0.15341451699542125;
6;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.31270280480384827;0.10451170057058334;0.07044275850057602;0.21448294777091403;-1.061832383433051;0.42365444795849483;0.3;0.12332836764925692;0.2734778121401619;0.33736847833369965;0.15920726299861573;
7;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3205316662788391;0.10976343601942062;0.07371852546930313;0.21037322713558257;-1.021888600989055;0.4595197922220555;0.3;0.13305532932485759;0.26887967446100064;0.34714273214381064;0.16353937091162074;
8;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.32687050104141235;0.1146983727812767;0.07992807030677795;0.2076765276296874;-0.9856835685955458;0.49305026261726953;0.3;0.14199451246751849;0.26426796708854394;0.35526940353491604;0.1675519661989855;
9;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.33348482847213745;0.11938509345054626;0.08893002569675446;0.20489046558380689;-0.9487767771513722;0.5271952500650193;0.3;0.15093341936524088;0.2592664708725683;0.36367151234518563;0.17123838762505994;
