i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.488467126214749;1.0226249694824219;-0.031367041170597076;0.0058656297624111176;0.3494635097857727;0.8948644445232224;2.708113185504258;0.3440252642264509;0.1445012722844824;-0.31220628554570334;1.0370750967108702;-0.06258766972516741;0.878543496131897;-0.2653414309024811;0.013077828101813793;0.129455744947633;1.6895826254880602;2.5543071675160127;0.25597473577354907;0.141836465222356;-0.2130856224327809;0.8927271426541326;-0.2866499931457592;
1;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.463126524311222;1.0198804140090942;-0.034155357629060745;0.005029302090406418;0.34557827985271117;0.8961902574884961;2.691051392063044;0.34356630121627124;0.14960692425424738;-0.3092823492322404;1.0348411064345189;-0.06508359255228478;0.8875508308410645;-0.27014943957328796;0.03502636030316353;0.13901881520206072;1.7162490403568607;2.6093201584901324;0.25643369878372874;0.13013824529921966;-0.22095764069690882;0.9005646553709864;-0.29224520364297885;
2;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.4758471791518275;1.0200839042663574;-0.040335752069950104;0.012597880326211452;0.34191287224062267;0.9106789462036871;2.688050192105235;0.34379675908093527;0.15063544297694562;-0.3090391154428417;1.035147448564052;-0.07123966361423427;0.8906357884407043;-0.2708553969860077;0.046952024102211;0.14217374080252138;1.7180170742314462;2.6207349424898867;0.2562032409190647;0.12749295665896906;-0.2222288159978056;0.9033850841066012;-0.2930782785857883;
3;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.472114972343579;1.016247034072876;-0.0466836579144001;0.03186846524477005;0.335000027032345;0.9186239063773833;2.6626660307700387;0.3437291567718789;0.15839961755572501;-0.30505621510355585;1.0320869958284484;-0.07718927942475569;0.8948432803153992;-0.27321097254753113;0.06258188933134079;0.14669125774608227;1.7296942412133904;2.64648528686011;0.2562708432281211;0.12176097343546037;-0.22549725150631292;0.9070193776589452;-0.29576069769816243;
4;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.472077187445879;1.0154783725738525;-0.05300088971853256;0.053527623414993286;0.3305864724336902;0.9324005165889322;2.654953385861001;0.3437284723083872;0.1607473532307988;-0.30382486913475415;1.0315531078969324;-0.08338337663200798;0.897146463394165;-0.27566975355148315;0.07333213090896606;0.14936873145609905;1.7435086363226395;2.6687868535690775;0.25627152769161277;0.11670248173227069;-0.22815702194524295;0.9088167115673921;-0.29848545574600743;
5;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.434058423094095;1.0162544250488281;-0.05703416466712952;0.06723864376544952;0.328827055553211;0.943657091900072;2.657602820761371;0.34303919554494605;0.15962109533798158;-0.30363958174656136;1.0322165345826262;-0.08739812284178565;0.895966649055481;-0.28294575214385986;0.08325698971748352;0.14963851516508236;1.7927839759855635;2.71892344571562;0.2569608044550539;0.10540435113203461;-0.23434755767582305;0.9065070841686844;-0.30638050791144217;
6;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.399170626834644;1.0177613496780396;-0.05987197905778885;0.06884004175662994;0.3283973275299409;0.9533470766982656;2.6651872592210704;0.3424056773881917;0.15702306701950483;-0.30427849797751816;1.03346365637999;-0.09029982885554066;0.8923770785331726;-0.28887805342674255;0.0924210250377655;0.14758975414944578;1.8373617570432073;2.756988697343467;0.25759432261180826;0.09664734314721232;-0.23877630976380665;0.9020418128478939;-0.31275568440312324;
7;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.383606650273159;1.0204741954803467;-0.0641513243317604;0.0680723711848259;0.3281707187857858;0.9687659422818786;2.6794952973527315;0.3421227480768496;0.1525273772323649;-0.30624071242450984;1.0357269332035832;-0.09477539557421139;0.8893990516662598;-0.29274699091911316;0.09716296941041946;0.14580603841436507;1.8683445991883056;2.7823536617081484;0.25787725192315036;0.09065981826621287;-0.24141556373062034;0.8984650334928811;-0.3168885472921752;
8;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.399459182780338;1.0205926895141602;-0.0698416605591774;0.06981000304222107;0.32508065289798677;0.9833997839949261;2.6789481460304345;0.34241092111196164;0.1528235306885102;-0.3064150899754123;1.0358750425830112;-0.10048316955671863;0.8886532187461853;-0.2923334836959839;0.09919822961091995;0.14497185558071485;1.8671259083941742;2.7785242558786103;0.25758907888803834;0.09148128643766176;-0.2407972337758441;0.8978013473899514;-0.3164132070735683;
9;0.2;0.05;0.75;-0.25;5.0;0.3;3.141592653589793;0.3;0.3;0.1;5.441790665003914;1.018236517906189;-0.0739939883351326;0.07722640782594681;0.3208254130841425;0.9901030450514585;2.664652535986105;0.3431794734322921;0.1575409704156167;-0.3048819339117539;1.0339906149477507;-0.104482181726308;0.8927200436592102;-0.2880738079547882;0.0965443029999733;0.14771129176290132;1.8314976872271307;2.751509177175574;0.2568205265677079;0.0976600172494462;-0.23752748029933846;0.9024860453841548;-0.31182655598472203;
