i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0.0005;0.0005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.7111170386076013;0.26172304153442383;-0.006355616729706526;0.010157972574234009;0.26131298649175466;1.5970346072064978;2.9767557044893733;0.29362631995098154;0.04818158105091361;-0.28964625151275547;0.26654119963951517;-0.035320241880982074;3.684457540512085;2;-0.47258156538009644;-0.20188286900520325;0.003663893323391676;0.5145531976086241;-1.975033661365487;0.41625215990865305;1.1063736800490185;0.44734613959021113;1.0119012557057843;-0.4278469514210753;-0.10069274343462482;3.763636350631714;2;
1;0.2;0.05;0.001;0.001;5.0;0.3;3.141592653589793;0.7;0.7;3;2.722663644295642;0.2521379292011261;-0.0016953623853623867;0.013224296271800995;0.25115239290482233;1.5815285125279122;2.912776510534923;0.29951099093837763;0.06793648537192633;-0.29170441828707183;0.2589315777383187;-0.03086580421406957;3.6105573177337646;2;-0.4771886467933655;-0.20581136643886566;0.004325948189944029;0.5209945519968331;-1.9789931503560323;0.42702900140223987;1.1004890090616222;0.4557878057880597;1.0016653808335083;-0.4316098662145595;-0.10564482835551484;3.6633431911468506;2;
2;0.2;0.05;0.0015;0.0015;5.0;0.3;3.141592653589793;0.7;0.7;3;2.7283044439056265;0.24354687333106995;-0.0021252220030874014;0.016896404325962067;0.2420740199276219;1.5857725622584347;2.8746528896972827;0.3024587466419367;0.07978281796597374;-0.2917464573523037;0.2515251551276673;-0.03129986773831777;3.6369502544403076;2;-0.4828070402145386;-0.20229876041412354;0.009647884406149387;0.5254400479100352;-1.9691083010155255;0.4468120919589249;1.097541253358063;0.474239658124574;0.989794700675183;-0.4353830744020812;-0.10331929034660522;3.7055718898773193;2;
3;0.2;0.05;0.002;0.002;5.0;0.3;3.141592653589793;0.7;0.7;3;2.7249598192935083;0.23812918365001678;-0.006139417178928852;0.034642837941646576;0.2362694256209127;1.6052528713627046;2.867568726781367;0.3007050493511064;0.08137301467416079;-0.28948568045430184;0.24626648511743288;-0.03508798522435903;3.658064603805542;2;-0.48137903213500977;-0.1922885924577713;0.021690983325242996;0.520963862342678;-1.9529726165233734;0.4529804391437865;1.0992949506488934;0.4811034956663972;0.9884274454808131;-0.43326868256837003;-0.09344584790968999;3.7002933025360107;2;
4;0.2;0.05;0.0025;0.0025;5.0;0.3;3.141592653589793;0.7;0.7;3;2.7188586548156413;0.23132771253585815;-0.011972501873970032;0.05481340363621712;0.22928492173469542;1.6339584795890794;2.8648983408577378;0.297549873628303;0.08128384005203758;-0.28623218659440425;0.23945609654106192;-0.040595720533410456;3.6633431911468506;2;-0.47699248790740967;-0.17774799466133118;0.04245452210307121;0.5122522674806512;-1.9303681727748658;0.4555378869907233;1.1024501263716968;0.48501787630263105;0.9900272424554063;-0.4284907002771466;-0.07874527041579055;3.7266862392425537;2;
5;0.2;0.05;0.003;0.003;5.0;0.3;3.141592653589793;0.7;0.7;3;2.7140523527238543;0.22640326619148254;-0.01917457766830921;0.07559394091367722;0.22450107180098336;1.6697303441066589;2.879570713872126;0.29510358060013375;0.07644186306233891;-0.28503116470761275;0.23404745249771644;-0.047677694139070484;3.668621778488159;2;-0.4718340337276459;-0.15890339016914368;0.06510530412197113;0.5016772541528359;-1.8994026103490735;0.46096748199021076;1.104896419399866;0.49147429496582046;0.9895701667847988;-0.42268660423106386;-0.0599463734906638;3.7161290645599365;2;
6;0.2;0.05;0.0035;0.0035;5.0;0.3;3.141592653589793;0.7;0.7;3;2.70881291021945;0.22290600836277008;-0.024779507890343666;0.08941690623760223;0.2212209914818301;1.6989808227571168;2.8945447204552366;0.29247550953621604;0.07152271894364344;-0.2835955295017497;0.23005828025713443;-0.053139060840518636;3.6633431911468506;2;-0.4641416370868683;-0.1435164362192154;0.08156765252351761;0.4902066230232766;-1.8753915742030194;0.45571025770556517;1.107524490463784;0.48742174945032773;0.994500143358384;-0.41539946214183554;-0.04406642188337699;3.7055718898773193;2;
7;0.2;0.05;0.004;0.004;5.0;0.3;3.141592653589793;0.7;0.7;3;2.6834397639838268;0.21847465634346008;-0.032758183777332306;0.0943293571472168;0.21760179752992262;1.7405342876636845;2.9205300874536473;0.28029638004135804;0.061459593677251526;-0.27347537185150067;0.22462061571118525;-0.06010572096248237;3.642228841781616;2;-0.45753714442253113;-0.13293224573135376;0.08862436562776566;0.4814218270942191;-1.8592112555320752;0.4483140169881694;1.1197036199586419;0.4853319265089536;1.009053575217686;-0.4090039517716358;-0.03202688820958517;3.7002933025360107;2;
8;0.2;0.05;0.0045000000000000005;0.0045000000000000005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.6483597664566663;0.21262870728969574;-0.04017983749508858;0.09059399366378784;0.212870492733651;1.7822609401652116;2.9422027372665287;0.26484383173973697;0.05245798091670283;-0.2595966399026169;0.21787450538136602;-0.06613950148535026;3.6158359050750732;2;-0.4480878710746765;-0.12651051580905914;0.09572207927703857;0.47116826749735996;-1.8525646005577088;0.4261072278807253;1.1351561682602629;0.4691932547884645;1.0336523670946287;-0.40116854559583004;-0.023145279099596267;3.7002933025360107;2;
9;0.2;0.05;0.005000000000000001;0.005000000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;2.6064079351086247;0.21435217559337616;-0.05140049383044243;0.08952215313911438;0.21681639497509772;1.8339533772354406;3.0105966495872014;0.24823723174102025;0.03242516369531059;-0.24611040608185852;0.2175946919629072;-0.07601153443862828;3.6105573177337646;2;-0.4411693513393402;-0.11945552378892899;0.09818343818187714;0.4632021885485261;-1.8428239948355212;0.41240008271853;1.1517627682589797;0.4616372791695226;1.0552006903089803;-0.39500562342238793;-0.013935454758030957;3.684457540512085;2;
10;0.2;0.05;0.005500000000000001;0.005500000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;2.5979400935533445;0.21546036005020142;-0.05767960101366043;0.08886129409074783;0.21926015318943737;1.863089648321654;3.05019467659306;0.2451088083672074;0.022371272107018125;-0.24408575157822332;0.21769748726090324;-0.08208817617148276;3.6158359050750732;2;-0.44219979643821716;-0.10946495831012726;0.09570208936929703;0.4622251068149267;-1.8221555653045878;0.43012884566628307;1.1548911916327924;0.48157567035831694;1.0496944975705784;-0.3940422294023855;-0.004495508553069419;3.668621778488159;2;
11;0.2;0.05;0.006000000000000002;0.006000000000000002;5.0;0.3;3.141592653589793;0.7;0.7;3;2.6089165440531747;0.2137458771467209;-0.06012815237045288;0.09563829749822617;0.21801670121206373;1.878967958545583;3.0607385451745466;0.2491777871333093;0.02012510348213797;-0.2483637449598593;0.21575838749493467;-0.08496452686643881;3.621114492416382;2;-0.43716299533843994;-0.09519802033901215;0.10348459333181381;0.45457065430785704;-1.7953008045808287;0.4334630144693027;1.1508222128666907;0.4833638093395952;1.044390345344164;-0.3888266144044804;0.009241014195404268;3.6791789531707764;2;
