i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.831121417424504;4.417649324850309;0.021381517872214317;0.24922959506511688;0.026985647156834602;0.2501450786300661;0.08558089703469532;0.7606050197079606;0.5637841099757057;0.38865013459643966;0.4084159589674086;0.06024653133185828;0.29007119096185774;-0.2860279381275177;-0.2919749319553375;0.027856307104229927;0.40873138156961114;-2.3664829927203868;-1.2238029726863935;0.501299091664504;-0.4714213838979558;0.1704777349315534;-0.3331700765173133;-0.2749271584621822;0.341551810503006;-0.17797623574733734;-0.0028272164054214954;0.3851404675552455;2.0511663321299225;3.1006563647825;0.02721633027733661;0.0011138244082805559;-0.027193529174283134;0.341663192943834;-0.18069558866476565;
1;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.8295145316444077;4.411817278587116;0.020415497943758965;0.24420680105686188;0.03509795293211937;0.24505867509377696;0.08340527845493512;0.7486197163240734;0.5637513699345953;0.38370506484293937;0.41302061730258527;0.0587860044280529;0.2855088627871204;-0.2861686944961548;-0.29433754086494446;0.03223050385713577;0.4105205350187204;-2.3702654970802435;-1.2201566029239481;0.5007048523253529;-0.4702385446552362;0.171991454039667;-0.3331925489616784;-0.27713839546097774;0.3424261212348938;-0.17426635324954987;0.005180837120860815;0.3842192217717264;2.0415517815068727;3.087584900124394;0.027283896195158974;0.0014728256967015633;-0.02724411452140344;0.34257340380456397;-0.1769907647016902;
2;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.832361909762789;4.444118136922275;0.018961962312459946;0.23970630764961243;0.04244222864508629;0.24045513082849737;0.07894059287832071;0.7354831183849838;0.5638093448705275;0.3782853255692808;0.4180684032814207;0.056790494869388024;0.2815131479777545;-0.283009797334671;-0.2920319736003876;0.03754231333732605;0.4066659796348215;-2.3718828045384766;-1.237716458395838;0.5047164868181829;-0.4769771921583817;0.1650196661819288;-0.3307075165505092;-0.2755300069821947;0.3436819314956665;-0.18839696049690247;0.004416128154844046;0.39193198996900397;2.0722353323837988;3.1476351549167125;0.026913813097644235;-0.0001626257617236057;-0.02691332176295877;0.3436656689194941;-0.19108829267319835;
3;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.8246687128931804;4.488188261137517;0.021557262167334557;0.24005618691444397;0.052091218531131744;0.24102217414182797;0.08956067263169004;0.7471609528886295;0.5636522820962779;0.38303482141744;0.4135072196395752;0.059860744309078555;0.2814069088784015;-0.28187376260757446;-0.2891613841056824;0.04544655978679657;0.4038157056188692;-2.3689559216547154;-1.24642822135;0.5110878295273624;-0.48443577813895133;0.16288875452252366;-0.3303173404214696;-0.27287250865343;0.3448520004749298;-0.21068918704986572;0.006551771424710751;0.4041198284807296;2.119232339482802;3.2429957542137853;0.02642468258982167;-0.002674954998497783;-0.02628894189062839;0.34458450497508003;-0.21331808123892856;
4;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.8171817579757894;4.545969979069918;0.028310896828770638;0.2462388575077057;0.06402692943811417;0.2478610131221719;0.11447068638038904;0.785059680538228;0.5634981314732994;0.3983184574986082;0.39858819675177193;0.06814274257863145;0.28609767718288287;-0.2836211621761322;-0.2809891402721405;0.06076115369796753;0.39924411152203176;-2.3515328628234076;-1.2474031257299276;0.5180719318518215;-0.4912164132551699;0.16463584640473833;-0.3327428035016492;-0.2645255556316667;0.3431161940097809;-0.2468445599079132;0.00582421850413084;0.4226830483327773;2.194437116246511;3.396345153725907;0.02580951769641826;-0.0065041508486215404;-0.02497653349566555;0.34246577892491875;-0.24934221325747977;
5;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.81315529198934;4.579712981666345;0.035581108182668686;0.2565215826034546;0.0747923031449318;0.25897748473735654;0.13782668918825638;0.8304749054833974;0.5634146943857168;0.41594190668888814;0.3800374298799566;0.0771752988515575;0.2945253255914502;-0.28880196809768677;-0.27526670694351196;0.07398077100515366;0.3989715988997495;-2.3322033260019897;-1.2291597460446373;0.5216615198166388;-0.4915134614741153;0.17477201849019988;-0.3379533142450983;-0.257789505094492;0.3474801480770111;-0.2791098952293396;0.008755147457122803;0.4456958457542032;2.2475096556643557;3.553177251341328;0.02546326927320086;-0.010186888838916665;-0.023336781651785026;0.34646145919311944;-0.2814435733945181;
6;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.813106634734232;4.593531456209343;0.0413597896695137;0.26574674248695374;0.08465943485498428;0.2689460231048857;0.15439742779799007;0.8678778700077113;0.5634136837980301;0.4298614344293758;0.36421714166302793;0.08434593311245128;0.30216845665325653;-0.2949611246585846;-0.2719799280166626;0.08336654305458069;0.40121708127123157;-2.315681244647364;-1.203652361300254;0.5229060314742519;-0.4880576533683559;0.18769774836349287;-0.34376688999542016;-0.2532101531803133;0.3531622588634491;-0.30174851417541504;0.011056680232286453;0.46451668096270177;2.277850211561979;3.673057051843811;0.025324124197981246;-0.01283417223845281;-0.021831062487852177;0.3518788416396038;-0.30393162042420024;
7;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.807653088120738;4.62477029419674;0.04961239919066429;0.27625802159309387;0.09686602652072906;0.2806775456782821;0.177693045568597;0.9170436024127578;0.5633000657458154;0.44715159190419185;0.34258198716042704;0.09432755838108348;0.31051622030913656;-0.3054291307926178;-0.2717116177082062;0.09156125038862228;0.40879598473363754;-2.2978391734902512;-1.1548917787509336;0.526025251454699;-0.481182251830719;0.21252342386451858;-0.3535473559756897;-0.2504592753217543;0.3625912666320801;-0.3419676125049591;0.013609071262180805;0.49841175210883426;2.3269311207064884;3.8897863749727866;0.025015069564226;-0.017018152436188774;-0.018334017371043045;0.3608894513884612;-0.3438010142420634;
8;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.8011189417013584;4.649915386655602;0.056587494909763336;0.2826419174671173;0.10372406244277954;0.2882509290351919;0.19759664684432773;0.954468009397329;0.5631630135552744;0.4595445909308905;0.32553240819128704;0.10254195400285239;0.315195158286246;-0.3148348033428192;-0.2726268470287323;0.09954990446567535;0.41646890774311046;-2.2844697186338996;-1.1093067388991225;0.5285314079589691;-0.47324184515623263;0.23534571419980138;-0.36215898785844247;-0.24909227560875216;0.37082672119140625;-0.3777521550655365;0.02668866701424122;0.5293478514230752;2.3654456680217018;4.081941436476467;0.02477169797663975;-0.02000967988064883;-0.014603072680768771;0.3688257532033414;-0.3792124623336134;
9;0.2;0.05;0;0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;3;3.787088293237622;4.660779725162041;0.06440430879592896;0.2875942587852478;0.11143963783979416;0.2947174454926573;0.22030678192866462;0.9926714324718413;0.562865281228401;0.4713933585798861;0.3075802761867246;0.11154364465391757;0.31835228640392027;-0.3224984407424927;-0.27440145611763;0.10553593188524246;0.4234399643406544;-2.2757902320132994;-1.0705854900732572;0.5303899972577684;-0.46540739015873134;0.254380640727108;-0.3690391797583658;-0.2489633920449192;0.38694801926612854;-0.40989959239959717;0.03117070533335209;0.5636900260456416;2.384989493148742;4.264082227536308;0.024667996188370178;-0.022230361919417626;-0.010692101986099475;0.3847249830741868;-0.4109688025982071;
