i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
0;-0.43068191409111023;0.46455565094947815;0.799499159570768;-0.9507678516980794;1.8688236390134088;0.09559175990043883;-0.029363505225651378;0.22;0.0;5.0;0.2;0.1
1;-0.43068191409111023;0.46455565094947815;0.799499159570768;-0.9507678516980794;1.8688236390134088;0.09559175990043883;-0.029363505225651378;0.22;0.0;5.0;0.2;0.1
2;-0.43068191409111023;0.46455565094947815;0.799499159570768;-0.9507678516980794;1.8688236390134088;0.09559175990043883;-0.029363505225651378;0.22;0.0;5.0;0.2;0.1
3;-0.4311026334762573;0.46489834785461426;0.800040694688506;-0.9507247970725153;1.8691376482229183;0.09558253477676704;-0.02939352047047307;0.22;0.0;5.0;0.2;0.1
4;-0.4311026334762573;0.46489834785461426;0.800040694688506;-0.9507247970725153;1.8691376482229183;0.09558253477676704;-0.02939352047047307;0.22;0.0;5.0;0.2;0.1
5;-0.431794673204422;0.4643959701061249;0.800040694688506;-0.9507247970725153;1.8691376482229183;0.09558253477676704;-0.02939352047047307;0.22;0.0;5.0;0.2;0.1
6;-0.431794673204422;0.4643959701061249;0.8003123846776757;-0.9517381431134748;1.8682600752633838;0.09560829292651467;-0.029309628514837358;0.22;0.0;5.0;0.2;0.1
7;-0.431794673204422;0.4643959701061249;0.8003123846776757;-0.9517381431134748;1.8682600752633838;0.09560829292651467;-0.029309628514837358;0.22;0.0;5.0;0.2;0.1
8;-0.43218863010406494;0.4645066559314728;0.8003123846776757;-0.9517381431134748;1.8682600752633838;0.09560829292651467;-0.029309628514837358;0.22;0.0;5.0;0.2;0.1
9;-0.43218863010406494;0.4645066559314728;0.8006974726085105;-0.951911061597401;1.868279409416194;0.09560772623180853;-0.029311477014704504;0.22;0.0;5.0;0.2;0.1
10;-0.43218863010406494;0.4645066559314728;0.8006974726085105;-0.951911061597401;1.868279409416194;0.09560772623180853;-0.029311477014704504;0.22;0.0;5.0;0.2;0.1
11;-0.43269169330596924;0.46411609649658203;0.8006974726085105;-0.951911061597401;1.868279409416194;0.09560772623180853;-0.029311477014704504;0.22;0.0;5.0;0.2;0.1
12;-0.43269169330596924;0.46411609649658203;0.8008808884833237;-0.9526726749209462;1.867609287280074;0.0956273470329506;-0.029247401584408046;0.22;0.0;5.0;0.2;0.1
13;-0.43269169330596924;0.46411609649658203;0.8008808884833237;-0.9526726749209462;1.867609287280074;0.0956273470329506;-0.029247401584408046;0.22;0.0;5.0;0.2;0.1
14;-0.43269169330596924;0.46411609649658203;0.8008808884833237;-0.9526726749209462;1.867609287280074;0.0956273470329506;-0.029247401584408046;0.22;0.0;5.0;0.2;0.1
15;-0.4333990812301636;0.4646070897579193;0.8008808884833237;-0.9526726749209462;1.867609287280074;0.0956273470329506;-0.029247401584408046;0.22;0.0;5.0;0.2;0.1
16;-0.4333990812301636;0.4646070897579193;0.8017419205740368;-0.9526848893760289;1.868025900100842;0.09561515389198934;-0.029287238623864766;0.22;0.0;5.0;0.2;0.1
17;-0.4333990812301636;0.4646070897579193;0.8017419205740368;-0.9526848893760289;1.868025900100842;0.09561515389198934;-0.029287238623864766;0.22;0.0;5.0;0.2;0.1
18;-0.43394383788108826;0.4641638696193695;0.8017419205740368;-0.9526848893760289;1.868025900100842;0.09561515389198934;-0.029287238623864766;0.22;0.0;5.0;0.2;0.1
19;-0.43394383788108826;0.4641638696193695;0.8019293241693273;-0.9535289762224375;1.8672750010958001;0.09563711869199747;-0.029215433049893158;0.22;0.0;5.0;0.2;0.1
20;-0.43394383788108826;0.4641638696193695;0.8019293241693273;-0.9535289762224375;1.8672750010958001;0.09563711869199747;-0.029215433049893158;0.22;0.0;5.0;0.2;0.1
21;-0.434452623128891;0.4643036127090454;0.8024251246658204;-0.9537539618394781;1.867296304163906;0.09563649629193646;-0.029217470407316655;0.22;0.0;5.0;0.2;0.1
22;-0.434452623128891;0.4643036127090454;0.8024251246658204;-0.9537539618394781;1.867296304163906;0.09563649629193646;-0.029217470407316655;0.22;0.0;5.0;0.2;0.1
23;-0.434452623128891;0.4643036127090454;0.8024251246658204;-0.9537539618394781;1.867296304163906;0.09563649629193646;-0.029217470407316655;0.22;0.0;5.0;0.2;0.1
24;-0.4349399507045746;0.46382012963294983;0.802543115154343;-0.9545966652553908;1.8665121586944338;0.0956593776339581;-0.029142468507039682;0.22;0.0;5.0;0.2;0.1
25;-0.4349399507045746;0.46382012963294983;0.802543115154343;-0.9545966652553908;1.8665121586944338;0.0956593776339581;-0.029142468507039682;0.22;0.0;5.0;0.2;0.1
26;-0.4349399507045746;0.46382012963294983;0.802543115154343;-0.9545966652553908;1.8665121586944338;0.0956593776339581;-0.029142468507039682;0.22;0.0;5.0;0.2;0.1
