i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
0;0.7754470705986023;-0.3271614611148834;0.0162195647124716;-2.028102025543481;-0.5408909326715308;-0.05148999481883598;0.08572502804640103;0.79;-0.32;1.0;0.1;0.1
1;0.7757746577262878;-0.3274608254432678;0.0162195647124716;-2.028102025543481;-0.5408909326715308;-0.05148999481883598;0.08572502804640103;0.79;-0.32;1.0;0.1;0.1
2;0.7757746577262878;-0.3274608254432678;0.01606313416177477;-2.0538310730221747;-0.5667753183201524;-0.05369143850893232;0.08436367364477165;0.79;-0.32;1.0;0.1;0.1
3;0.7757746577262878;-0.3274608254432678;0.01606313416177477;-2.0538310730221747;-0.5667753183201524;-0.05369143850893232;0.08436367364477165;0.79;-0.32;1.0;0.1;0.1
4;0.7757746577262878;-0.3274608254432678;0.01606313416177477;-2.0538310730221747;-0.5667753183201524;-0.05369143850893232;0.08436367364477165;0.79;-0.32;1.0;0.1;0.1
5;0.7756368517875671;-0.32777348160743713;0.01606313416177477;-2.0538310730221747;-0.5667753183201524;-0.05369143850893232;0.08436367364477165;0.79;-0.32;1.0;0.1;0.1
6;0.7756732702255249;-0.32774898409843445;0.01628809198735758;-2.0666075598735496;-0.5793284169901366;-0.054746205914413475;0.08368305048202199;0.79;-0.32;1.0;0.1;0.1
7;0.7756732702255249;-0.32774898409843445;0.01628809198735758;-2.0666075598735496;-0.5793284169901366;-0.054746205914413475;0.08368305048202199;0.79;-0.32;1.0;0.1;0.1
8;0.7749095559120178;-0.32741522789001465;0.01681389625974207;-2.0275287490437925;-0.5397274381402363;-0.051390219388510676;0.08578487833645708;0.79;-0.32;1.0;0.1;0.1
9;0.775449812412262;-0.32770803570747375;0.01681389625974207;-2.0275287490437925;-0.5397274381402363;-0.051390219388510676;0.08578487833645708;0.79;-0.32;1.0;0.1;0.1
10;0.775449812412262;-0.32770803570747375;0.016465775818529094;-2.0579636732120274;-0.5705080803801261;-0.05400597324312169;0.08416266900510716;0.79;-0.32;1.0;0.1;0.1
11;0.775449812412262;-0.32770803570747375;0.016465775818529094;-2.0579636732120274;-0.5705080803801261;-0.05400597324312169;0.08416266900510716;0.79;-0.32;1.0;0.1;0.1
12;0.775449812412262;-0.32770803570747375;0.016465775818529094;-2.0579636732120274;-0.5705080803801261;-0.05400597324312169;0.08416266900510716;0.79;-0.32;1.0;0.1;0.1
13;0.775449812412262;-0.32770803570747375;0.016465775818529094;-2.0579636732120274;-0.5705080803801261;-0.05400597324312169;0.08416266900510716;0.79;-0.32;1.0;0.1;0.1
14;0.7745643854141235;-0.3274169862270355;0.01700654506432707;-2.0172959604520133;-0.5293033216552763;-0.050493211956876255;0.08631590552313038;0.79;-0.32;1.0;0.1;0.1
15;0.7745643854141235;-0.3274169862270355;0.017125124301322837;-2.018731722132567;-0.5306213141245278;-0.05060693178141815;0.08624928089944223;0.79;-0.32;1.0;0.1;0.1
16;0.7745643854141235;-0.3274169862270355;0.017125124301322837;-2.018731722132567;-0.5306213141245278;-0.05060693178141815;0.08624928089944223;0.79;-0.32;1.0;0.1;0.1
17;0.7745643854141235;-0.3274169862270355;0.017125124301322837;-2.018731722132567;-0.5306213141245278;-0.05060693178141815;0.08624928089944223;0.79;-0.32;1.0;0.1;0.1
18;0.7744153141975403;-0.3273059129714966;0.017125124301322837;-2.018731722132567;-0.5306213141245278;-0.05060693178141815;0.08624928089944223;0.79;-0.32;1.0;0.1;0.1
19;0.7744153141975403;-0.3273059129714966;0.01721216999417774;-2.009164003031777;-0.5209671424846608;-0.049771921012853985;0.08673382199978406;0.79;-0.32;1.0;0.1;0.1
20;0.7747379541397095;-0.3275444805622101;0.01721216999417774;-2.009164003031777;-0.5209671424846608;-0.049771921012853985;0.08673382199978406;0.79;-0.32;1.0;0.1;0.1
