i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
0;-0.15957149863243103;0.07343468815088272;0.0505453344322967;1.502791297055959;2.1785977232449723;0.0820905544232089;-0.05710639959312948;-0.21;0.07;5.0;0.3;0.1
1;-0.15888307988643646;0.07419279962778091;0.0505453344322967;1.502791297055959;2.1785977232449723;0.0820905544232089;-0.05710639959312948;-0.21;0.07;5.0;0.3;0.1
2;-0.15888307988643646;0.07419279962778091;0.05128858635812802;1.488955822783537;2.1662190016417284;0.08279115119186581;-0.05608587419596506;-0.21;0.07;5.0;0.3;0.1
3;-0.15888307988643646;0.07419279962778091;0.05128858635812802;1.488955822783537;2.1662190016417284;0.08279115119186581;-0.05608587419596506;-0.21;0.07;5.0;0.3;0.1
4;-0.15811195969581604;0.07373617589473724;0.05128858635812802;1.488955822783537;2.1662190016417284;0.08279115119186581;-0.05608587419596506;-0.21;0.07;5.0;0.3;0.1
5;-0.15811195969581604;0.07373617589473724;0.05202237727098824;1.4989158134068294;2.1776223979730815;0.08214621268438624;-0.057026307452013605;-0.21;0.07;5.0;0.3;0.1
6;-0.15811195969581604;0.07373617589473724;0.05202237727098824;1.4989158134068294;2.1776223979730815;0.08214621268438624;-0.057026307452013605;-0.21;0.07;5.0;0.3;0.1
7;-0.15713509917259216;0.0735863521695137;0.05202237727098824;1.4989158134068294;2.1776223979730815;0.08214621268438624;-0.057026307452013605;-0.21;0.07;5.0;0.3;0.1
8;-0.15713509917259216;0.0735863521695137;0.05298641015746812;1.5030601638094905;2.1836709362954014;0.08179978633410283;-0.05752212579256027;-0.21;0.07;5.0;0.3;0.1
9;-0.15713509917259216;0.0735863521695137;0.05298641015746812;1.5030601638094905;2.1836709362954014;0.08179978633410283;-0.05752212579256027;-0.21;0.07;5.0;0.3;0.1
10;-0.15689966082572937;0.07356245070695877;0.053219705706270964;1.5038076717553115;2.1848806073834153;0.08173014364960486;-0.0576210345187845;-0.21;0.07;5.0;0.3;0.1
11;-0.15689966082572937;0.07356245070695877;0.053219705706270964;1.5038076717553115;2.1848806073834153;0.08173014364960486;-0.0576210345187845;-0.21;0.07;5.0;0.3;0.1
12;-0.15689966082572937;0.07356245070695877;0.053219705706270964;1.5038076717553115;2.1848806073834153;0.08173014364960486;-0.0576210345187845;-0.21;0.07;5.0;0.3;0.1
13;-0.1560271829366684;0.07327017933130264;0.053219705706270964;1.5038076717553115;2.1848806073834153;0.08173014364960486;-0.0576210345187845;-0.21;0.07;5.0;0.3;0.1
14;-0.1560271829366684;0.07327017933130264;0.05407179537069892;1.5102809301239615;2.1930463612621547;0.08125690484356535;-0.05828649427820966;-0.21;0.07;5.0;0.3;0.1
15;-0.1560271829366684;0.07327017933130264;0.05407179537069892;1.5102809301239615;2.1930463612621547;0.08125690484356535;-0.05828649427820966;-0.21;0.07;5.0;0.3;0.1
16;-0.1560271829366684;0.07327017933130264;0.05407179537069892;1.5102809301239615;2.1930463612621547;0.08125690484356535;-0.05828649427820966;-0.21;0.07;5.0;0.3;0.1
17;-0.15573500096797943;0.0731910765171051;0.05435874436816226;1.5120585426578743;2.195395527711703;0.08111975608129945;-0.05847721926793784;-0.21;0.07;5.0;0.3;0.1
18;-0.15573500096797943;0.0731910765171051;0.05435874436816226;1.5120585426578743;2.195395527711703;0.08111975608129945;-0.05847721926793784;-0.21;0.07;5.0;0.3;0.1
19;-0.15484310686588287;0.07235526293516159;0.05435874436816226;1.5120585426578743;2.195395527711703;0.08111975608129945;-0.05847721926793784;-0.21;0.07;5.0;0.3;0.1
20;-0.15484310686588287;0.07235526293516159;0.05520715645368961;1.528121098990273;2.213152682913569;0.0800686327271335;-0.05990838049227675;-0.21;0.07;5.0;0.3;0.1
21;-0.15484310686588287;0.07235526293516159;0.05520715645368961;1.528121098990273;2.213152682913569;0.0800686327271335;-0.05990838049227675;-0.21;0.07;5.0;0.3;0.1
22;-0.15484310686588287;0.07235526293516159;0.05520715645368961;1.528121098990273;2.213152682913569;0.0800686327271335;-0.05990838049227675;-0.21;0.07;5.0;0.3;0.1
23;-0.15456721186637878;0.07228658348321915;0.05547992848132256;1.5295700420886398;2.215147952551331;0.07994894005320102;-0.060068019647476906;-0.21;0.07;5.0;0.3;0.1
24;-0.15456721186637878;0.07228658348321915;0.05547992848132256;1.5295700420886398;2.215147952551331;0.07994894005320102;-0.060068019647476906;-0.21;0.07;5.0;0.3;0.1
25;-0.15456721186637878;0.07228658348321915;0.05547992848132256;1.5295700420886398;2.215147952551331;0.07994894005320102;-0.060068019647476906;-0.21;0.07;5.0;0.3;0.1
26;-0.1535794734954834;0.0719219446182251;0.05645325218410702;1.536744859241079;2.2242781735038233;0.07939718109524044;-0.060795457347811735;-0.21;0.07;5.0;0.3;0.1
27;-0.1535794734954834;0.0719219446182251;0.05645325218410702;1.536744859241079;2.2242781735038233;0.07939718109524044;-0.060795457347811735;-0.21;0.07;5.0;0.3;0.1
28;-0.1532813012599945;0.07181519269943237;0.05674773749935386;1.5388038198820864;2.2269305954430703;0.07923564678644202;-0.061005838067632524;-0.21;0.07;5.0;0.3;0.1
29;-0.1532813012599945;0.07181519269943237;0.05674773749935386;1.5388038198820864;2.2269305954430703;0.07923564678644202;-0.061005838067632524;-0.21;0.07;5.0;0.3;0.1
30;-0.1532813012599945;0.07181519269943237;0.05674773749935386;1.5388038198820864;2.2269305954430703;0.07923564678644202;-0.061005838067632524;-0.21;0.07;5.0;0.3;0.1
31;-0.1532813012599945;0.07181519269943237;0.05674773749935386;1.5388038198820864;2.2269305954430703;0.07923564678644202;-0.061005838067632524;-0.21;0.07;5.0;0.3;0.1
32;-0.15179872512817383;0.07170189917087555;0.058226152693559366;1.5415630438254075;2.2326821892448647;0.07888345733398953;-0.061460557750777495;-0.21;0.07;5.0;0.3;0.1
33;-0.15179872512817383;0.07170189917087555;0.058226152693559366;1.5415630438254075;2.2326821892448647;0.07888345733398953;-0.061460557750777495;-0.21;0.07;5.0;0.3;0.1
34;-0.1514902114868164;0.0715269222855568;0.058226152693559366;1.5415630438254075;2.2326821892448647;0.07888345733398953;-0.061460557750777495;-0.21;0.07;5.0;0.3;0.1
35;-0.1514902114868164;0.0715269222855568;0.05852970906747786;1.5447053797779478;2.23644162751275;0.0786518432613566;-0.06175668021834555;-0.21;0.07;5.0;0.3;0.1
36;-0.1514902114868164;0.0715269222855568;0.05852970906747786;1.5447053797779478;2.23644162751275;0.0786518432613566;-0.06175668021834555;-0.21;0.07;5.0;0.3;0.1
37;-0.1514902114868164;0.0715269222855568;0.05852970906747786;1.5447053797779478;2.23644162751275;0.0786518432613566;-0.06175668021834555;-0.21;0.07;5.0;0.3;0.1
38;-0.15084455907344818;0.07090356945991516;0.05916234130748759;1.555523019979045;2.2485483125723302;0.07789842884639503;-0.06270434421364388;-0.21;0.07;5.0;0.3;0.1
39;-0.15084455907344818;0.07090356945991516;0.05916234130748759;1.555523019979045;2.2485483125723302;0.07789842884639503;-0.06270434421364388;-0.21;0.07;5.0;0.3;0.1
40;-0.15053066611289978;0.07069113850593567;0.05916234130748759;1.555523019979045;2.2485483125723302;0.07789842884639503;-0.06270434421364388;-0.21;0.07;5.0;0.3;0.1
41;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
42;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
