i; TZ; vz; CX; CY; k; R; D_12; D_23; v_f; v_cruis; k_f; p12; p23;px1; py1; pz1; d1; phi1; angle1; v1; vx1; vy1; vz1;px2; py2; pz2; d2; phi2; angle2; v2; vx2; vy2; vz2;px3; py3; pz3; d3; phi3; angle3; v3; vx3; vy3; vz3;
0;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4973539769287456;3.2852876284341628;0.7211825251579285;0.6088554859161377;0.049134012311697006;0.6477860080037341;0.34845260182611293;2.5556275368480237;0.0481018123477433;0.02660048282771545;-0.040077408405109295;0.05;0.3834228515625;0.05232534185051918;0.02191411890089512;0.12778173945283655;-1.1489013751026327;-0.6558460402372506;0.055631663475593646;-0.03392585598510369;0.04408988859976518;0.05;0.9676783680915833;-0.13357196748256683;0.049134012311697006;0.4863789946923801;1.8489963036427912;3.3517926088875294;0.04622704074701578;-0.009645524365534768;-0.04520954717689763;0.05;
1;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.3839852375593835;3.3822843279599497;0.7222101092338562;0.608885645866394;0.0512886568903923;0.6481659219581496;0.3499268091332817;2.5583293147433337;0.04774248782404483;0.02629420739293197;-0.03984921330724799;0.05;0.3911608159542084;0.0647597536444664;0.018606221303343773;0.12664830703900343;-1.0340584284261018;-0.5422697220032207;0.05627808972230035;-0.029044076792353657;0.04820440836760837;0.05;0.9604096412658691;-0.1404292732477188;0.0512886568903923;0.48134958040435516;1.866842550793535;3.3446556832852643;0.045922963797756365;-0.009261300970181586;-0.04497940537968188;0.05;
2;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4938978586669143;3.2710525179269805;0.7222101092338562;0.608885645866394;0.0512886568903923;0.6481659219581496;0.3499268091332817;2.5583293147433337;0.048090850482721;0.02648606836232559;-0.040139981101859554;0.05;0.38447555899620056;0.0525386817753315;0.009821177460253239;0.12691024210807372;-1.1439710495336326;-0.6518901576382787;0.055598409513046225;-0.03373100171614587;0.04419731511761493;0.05;0.9596054553985596;-0.14084696769714355;0.0512886568903923;0.48070265543431057;1.8681617397189727;3.3427691026392816;0.046271726314721574;-0.009246117753949993;-0.04533852625113202;0.05;
3;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.452605929303554;3.3032465905305295;0.7226160168647766;0.6104280948638916;0.05510512366890907;0.6497540688321226;0.34969981926273525;2.5632098104993073;0.047959919528881526;0.026218274600399927;-0.04015913293629253;0.05;0.3888258635997772;0.056177910417318344;0.005340310744941235;0.12456181687496207;-1.1029061100408188;-0.6134335282332071;0.05582487074942506;-0.03213717017333895;0.045646670058612906;0.05;0.9570484757423401;-0.14451076090335846;0.05510512366890907;0.47935025732262215;1.8770326066082381;3.344944778371752;0.04617068693133906;-0.00932433246538136;-0.045219344928766475;0.05;
4;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5448716726702958;3.2757928230120785;0.7229931354522705;0.6045860052108765;0.04923953860998154;0.6443990814360931;0.35335576991341777;2.5494880578698256;0.04825257012172706;0.02693017356896089;-0.04003843497063574;0.05;0.3820604979991913;0.04700816050171852;-0.004207920283079147;0.126962566475139;-1.191515902756878;-0.699376605453621;0.05545563653087211;-0.035699053808636805;0.042437073181503124;0.05;0.9731515645980835;-0.11833896487951279;0.04923953860998154;0.4877258591569335;1.815876581410629;3.3253790784659207;0.04625684433061869;-0.008453601652090015;-0.04547782169953692;0.05;
5;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5130142844170282;3.2931957705819697;0.724248468875885;0.6046385169029236;0.06507685780525208;0.6448837972191159;0.3551539293427725;2.552877506607701;0.0481514881852823;0.026738180829884942;-0.040045417969672314;0.05;0.38621535897254944;0.04985203966498375;0.007406911812722683;0.12422628704306066;-1.1578603550742557;-0.6687583610588026;0.05560774874083515;-0.0344774873664328;0.0436294004648393;0.05;0.9741870760917664;-0.12682096660137177;0.06507685780525208;0.49085327818215174;1.8321291815233611;3.3572237441833357;0.046202222667362985;-0.0098856098937527;-0.04513225117843258;0.05;
6;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5015312607765285;3.341278411392489;0.7220352292060852;0.5988692045211792;0.058732304722070694;0.6387049139723514;0.3550460111244996;2.532209142357444;0.04811506215487684;0.027539235489329;-0.03945440044951822;0.05;0.3878963589668274;0.0506431981921196;0.005380562972277403;0.12301203134661555;-1.1464852496520288;-0.6587200832013447;0.05579133735611701;-0.034150169145678075;0.04411846859655981;0.05;0.9740711450576782;-0.10831629484891891;0.058732304722070694;0.4862878471708872;1.7954216461350685;3.297764331903836;0.046051426067224586;-0.007162729426482287;-0.045490978775885406;0.05;
7;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5208280623231927;3.2993280112146786;0.7241761684417725;0.6029455661773682;0.06231888011097908;0.643271568056743;0.35596371078446076;2.5483802627278695;0.04817627754499798;0.026931861774232242;-0.039945319368686054;0.05;0.3861340880393982;0.048939935863018036;0.0050483024679124355;0.12393773932461347;-1.164864351538732;-0.6760806420597012;0.055602560503818496;-0.034792780486283925;0.04337173227591973;0.05;0.9753721356391907;-0.12046968191862106;0.06231888011097908;0.4903994408680936;1.8189929444261759;3.3418232951112308;0.046182981081341695;-0.009185581089349146;-0.045260278850340244;0.05;
8;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5597186466554325;3.261118064458213;0.7225624322891235;0.5970790982246399;0.055519167333841324;0.6372107075396645;0.3567983721186198;2.5288991685283118;0.04829969102386505;0.027775852519037882;-0.03951407559138245;0.05;0.38249197602272034;0.04529014229774475;-0.010676457546651363;0.1259338425062735;-1.2029202745368126;-0.7119269275799898;0.055364354442005374;-0.036169193284133073;0.04191659814387402;0.05;0.9751482009887695;-0.12049081921577454;0.055519167333841324;0.4901875665683011;1.8191469681845602;3.3409204368503245;0.04630292040923404;-0.009168462976966286;-0.04538611819779106;0.05;
9;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5657230614701403;3.2396552245957837;0.7240137457847595;0.5987771153450012;0.06946570426225662;0.6393091522584358;0.3579978435764166;2.537198089708136;0.04831874979440429;0.027457806012453775;-0.03975890429421694;0.05;0.3820103406906128;0.04482582211494446;0.008846469223499298;0.12621772471497775;-1.2077252178937237;-0.7164161293005684;0.0552793447615968;-0.03630117558674845;0.04168969426958583;0.05;0.973147988319397;-0.12840844690799713;0.06946570426225662;0.4902629377058969;1.8358048646900782;3.357954291011021;0.046370337815963766;-0.00995466901857052;-0.04528921277630372;0.05;
